Format Version,1.23,Take Name,Brandon_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-06 07.45.00.570 P. M.,Total Frames in Take,7645,Total Exported Frames,7645,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,Cadera,Cadera,Cadera,Cadera,Cadera,Cadera,Muslo,Muslo,Muslo,Muslo,Muslo,Muslo,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Pie,Pie,Pie,Pie,Pie,Pie
,ID,"8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,2.936928,1.839095,3.382838,-644.547913,851.842957,-202.830566,13.426734,0.295287,3.984213,-640.567139,666.042358,-327.571777,-10.095668,-21.006071,-4.166697,-597.502014,440.072601,-314.105377,176.626541,-51.937870,-154.542374,-624.685486,249.547760,-208.530624,171.272705,-43.107594,-170.006638,-715.862732,78.382988,-200.410919,171.692444,-40.208611,175.984512,-642.567261,-8.282158,-319.790161
1,0.002778,,,,,,,2.948417,1.910912,3.354530,-644.704712,851.895935,-202.762726,13.399744,0.296471,4.055286,-640.786560,666.059082,-327.532074,-10.128218,-20.994936,-4.176701,-597.576965,440.110199,-314.021088,176.734314,-51.985748,-154.294647,-624.779358,249.558136,-208.416382,171.283813,-43.093212,-170.001740,-715.868042,78.393974,-200.417694,171.661148,-40.180817,175.916000,-642.545227,-8.276154,-319.766937
2,0.005556,,,,,,,3.004034,1.953523,3.265240,-644.748169,851.995544,-202.896027,13.302476,0.329239,4.115410,-641.015381,666.089722,-327.468597,-9.914641,-21.127432,-4.086740,-597.697693,440.099792,-313.899353,176.711868,-51.993519,-154.322388,-624.855774,249.573059,-208.369705,171.259003,-43.109188,-170.018402,-715.894348,78.381599,-200.415833,171.681534,-40.200073,175.960953,-642.557922,-8.273836,-319.790466
3,0.008333,,,,,,,2.904946,1.982926,3.489656,-645.347351,851.973694,-202.451111,13.269887,0.371779,4.159215,-641.242798,666.118958,-327.418823,-9.885172,-21.140444,-4.062417,-597.777832,440.139435,-313.813202,176.779877,-51.924381,-154.285309,-624.900513,249.602493,-208.318970,171.254395,-43.108341,-170.029663,-715.911377,78.385002,-200.416153,171.677704,-40.202614,175.970139,-642.554871,-8.274951,-319.787628
4,0.011111,,,,,,,3.037280,2.112633,3.163237,-645.016479,852.124634,-202.717224,13.315307,0.384051,4.163558,-641.474609,666.153442,-327.330139,-9.887081,-21.130613,-4.047885,-597.872009,440.185150,-313.733551,176.711838,-51.936214,-154.424942,-624.988892,249.620911,-208.251816,171.267349,-43.087185,-170.072906,-715.918213,78.409523,-200.446594,171.679855,-40.190495,175.968384,-642.557129,-8.270587,-319.790802
5,0.013889,,,,,,,3.041718,2.214894,3.121312,-645.181030,852.169189,-202.590195,13.299315,0.419825,4.165049,-641.710205,666.211853,-327.266724,-9.911989,-21.122257,-4.094030,-597.969360,440.281189,-313.655151,176.733963,-51.906048,-154.417694,-625.056213,249.655670,-208.205353,171.233185,-43.115582,-170.068970,-715.955017,78.378075,-200.418137,171.660172,-40.204975,175.956360,-642.549805,-8.274186,-319.787933
6,0.016667,,,,,,,3.050777,2.300433,3.086984,-645.327454,852.225342,-202.467834,13.467393,0.389325,4.086847,-642.005615,666.239319,-327.079041,-10.074629,-21.052593,-4.166660,-598.190369,440.316071,-313.481781,176.879593,-51.746063,-154.318741,-625.062012,249.711334,-208.149872,171.204697,-43.131859,-170.096283,-715.986694,78.367752,-200.427689,171.675644,-40.198681,175.967972,-642.562622,-8.269493,-319.802704
7,0.019444,,,,,,,3.065668,2.385494,3.061064,-645.478821,852.311340,-202.332550,13.284107,0.620642,4.282351,-642.279968,666.350525,-327.051392,-10.094354,-21.005455,-4.175498,-598.316406,440.386841,-313.360443,176.791122,-51.856888,-154.423859,-625.151917,249.753922,-208.113724,171.246750,-43.060863,-170.152634,-715.951660,78.404465,-200.423050,171.675034,-40.210529,176.007339,-642.574158,-8.270368,-319.817993
8,0.022222,,,,,,,3.070530,2.467959,3.004715,-645.652649,852.349731,-202.216782,13.274994,0.699789,4.294324,-642.521790,666.401611,-326.974182,-10.102494,-20.989584,-4.159701,-598.447083,440.441376,-313.273773,176.801331,-51.850693,-154.431870,-625.208557,249.784317,-208.068604,171.236404,-43.052723,-170.224976,-715.981812,78.380775,-200.418686,171.661865,-40.192696,175.965652,-642.563538,-8.270760,-319.817169
9,0.025000,,,,,,,3.094452,2.571096,3.017173,-645.834290,852.462891,-202.093246,13.238857,0.807514,4.292898,-642.795715,666.477722,-326.885345,-10.080373,-20.986088,-4.165260,-598.569092,440.523132,-313.171783,176.766602,-51.848419,-154.467697,-625.272339,249.806610,-208.023666,171.228714,-43.056973,-170.229691,-716.001465,78.356606,-200.401108,171.664917,-40.191090,175.982498,-642.566772,-8.266947,-319.808075
10,0.027778,,,,,,,2.978880,2.604129,3.303237,-646.480591,852.443359,-201.575546,13.224918,0.898152,4.299133,-643.035278,666.520508,-326.803497,-10.062261,-20.973635,-4.148955,-598.703003,440.592621,-313.073853,176.817474,-51.830570,-154.443161,-625.334717,249.833420,-207.972885,171.222839,-43.060455,-170.251923,-716.014954,78.345192,-200.373245,171.654129,-40.203766,175.992691,-642.567078,-8.272677,-319.810455
11,0.030556,,,,,,,3.102295,2.738785,3.035401,-646.100403,852.652466,-201.902298,13.201044,0.986464,4.309613,-643.308838,666.580750,-326.712067,-9.892612,-21.072390,-4.034379,-598.948425,440.581543,-312.932098,176.791199,-51.869144,-154.473709,-625.390137,249.855164,-207.918655,171.225418,-43.057201,-170.273972,-716.028931,78.337601,-200.375046,171.647827,-40.159435,175.919937,-642.550171,-8.260468,-319.802917
12,0.033333,,,,,,,3.090629,2.801695,2.963282,-646.223450,852.679382,-201.734863,13.221755,1.029563,4.288726,-643.572876,666.609924,-326.598022,-9.895104,-21.021425,-4.079455,-599.092834,440.699341,-312.817993,176.812897,-51.874859,-154.467300,-625.454529,249.869980,-207.857559,171.197052,-43.064659,-170.308472,-716.054321,78.302536,-200.356079,171.604736,-40.190464,175.881165,-642.541443,-8.259436,-319.790527
13,0.036111,,,,,,,3.082775,2.871912,2.928963,-646.345886,852.746216,-201.581635,13.213432,1.048293,4.248353,-643.859985,666.679688,-326.502228,-9.431800,-21.124117,-3.720278,-599.241882,440.742828,-312.754181,176.806702,-51.897034,-154.492661,-625.541199,249.890457,-207.796097,171.175751,-43.085308,-170.336563,-716.080994,78.279335,-200.334259,171.604050,-40.185047,175.852341,-642.545471,-8.249953,-319.797729
14,0.038889,,,,,,,3.086375,2.959566,2.942023,-646.493652,852.837524,-201.427933,13.207706,1.152828,4.217581,-644.135742,666.745178,-326.406006,-9.433342,-21.093273,-3.746712,-599.420715,440.859772,-312.657013,176.952164,-51.810390,-154.416428,-625.629089,249.930573,-207.722168,170.328644,-43.125820,-171.065125,-715.764099,78.620033,-200.382019,171.604721,-40.156048,175.837189,-642.552185,-8.240877,-319.786194
15,0.041667,,,,,,,3.087606,3.033103,2.919429,-646.615784,852.919250,-201.290680,13.213197,1.261971,4.237434,-644.418884,666.808594,-326.282318,-9.326113,-21.078947,-3.663450,-599.662109,440.926819,-312.534241,176.941925,-51.837204,-154.443100,-625.711304,249.951080,-207.649536,171.269379,-43.104008,-170.275482,-716.136597,78.226669,-200.288315,171.573273,-40.178791,175.786545,-642.551697,-8.243040,-319.795807
16,0.044444,,,,,,,3.082648,3.108262,2.904024,-646.760132,853.009583,-201.127014,13.160105,1.386865,4.248623,-644.728577,666.891113,-326.142975,-9.320545,-21.026749,-3.643452,-599.874451,440.989075,-312.398743,176.978088,-51.825668,-154.454895,-625.813049,249.981079,-207.575577,170.260834,-43.188789,-171.187973,-715.809509,78.542267,-200.308578,171.683990,-40.297527,176.303391,-642.682068,-8.424364,-319.896912
17,0.047222,,,,,,,3.091062,3.168202,2.874653,-646.875549,853.118164,-200.995102,13.134914,1.502091,4.203362,-645.036987,666.936768,-325.969269,-9.272740,-20.980488,-3.581006,-600.114197,441.045502,-312.245056,176.986740,-51.830673,-154.474121,-625.920349,249.985657,-207.499512,170.225235,-43.198959,-171.243210,-715.834778,78.515274,-200.278320,171.598160,-40.159634,175.832947,-642.580078,-8.243752,-319.803223
18,0.050000,,,,,,,3.090333,3.234122,2.856290,-646.976501,853.194946,-200.863373,13.083822,1.595615,4.183357,-645.309021,666.985962,-325.772095,-9.563401,-20.732620,-3.662661,-600.334412,441.223907,-312.085876,177.034668,-51.822891,-154.468918,-626.000549,250.022568,-207.417953,170.911728,-43.057316,-170.742447,-716.256470,78.158836,-199.980087,171.587891,-40.148052,175.797836,-642.580750,-8.240912,-319.812469
19,0.052778,,,,,,,2.978147,3.248823,3.077029,-647.626526,853.200928,-200.348969,13.086103,1.657187,4.169303,-645.625427,667.044312,-325.587799,-9.580786,-20.689489,-3.652123,-600.577209,441.299896,-311.935822,177.022736,-51.876358,-154.527466,-626.120972,250.035614,-207.333603,170.890488,-43.081547,-170.807495,-716.294556,78.120171,-199.955109,171.584656,-40.146587,175.766907,-642.588623,-8.232946,-319.817047
20,0.055556,,,,,,,3.095170,3.363491,2.757800,-647.150391,853.341309,-200.624557,13.074190,1.726503,4.129361,-645.894470,667.102783,-325.423798,-9.586429,-20.648508,-3.630372,-600.814392,441.346344,-311.791473,177.034744,-51.841343,-154.558029,-626.226135,250.049408,-207.243378,170.899033,-43.081352,-170.830185,-716.335144,78.078430,-199.918442,171.626190,-40.274567,176.100616,-642.697449,-8.395822,-319.933899
21,0.058333,,,,,,,3.087393,3.427245,2.756142,-647.235840,853.428589,-200.480103,13.184423,1.670365,4.110647,-646.232849,667.153992,-325.153656,-9.894032,-20.511467,-3.834772,-601.139404,441.418884,-311.565613,177.054077,-51.873425,-154.576233,-626.338135,250.068130,-207.147629,170.934265,-42.394867,-171.124405,-715.669922,78.777245,-199.493027,171.602814,-40.136272,175.809753,-642.624634,-8.236928,-319.830353
22,0.061111,,,,,,,3.076575,3.485322,2.688103,-647.279480,853.505432,-200.379623,13.142080,1.723857,4.099030,-646.515198,667.218445,-324.989258,-9.890685,-20.441956,-3.836635,-601.405823,441.504089,-311.388062,177.062317,-51.908142,-154.611984,-626.442993,250.076355,-207.039825,171.067703,-43.257732,-170.607880,-716.481323,77.817490,-199.891891,171.529526,-40.127220,175.681641,-642.616882,-8.225830,-319.813080
23,0.063889,,,,,,,3.076225,3.538395,2.653850,-647.382324,853.599548,-200.243423,13.027650,1.855125,4.055108,-646.758789,667.266907,-324.860718,-9.667161,-20.501526,-3.724393,-601.740417,441.479034,-311.133301,177.186127,-51.820454,-154.521362,-626.550415,250.108124,-206.935608,170.906296,-43.229816,-170.859650,-716.567200,77.837639,-199.881058,171.631393,-40.275753,176.097336,-642.730530,-8.400436,-319.952087
24,0.066667,,,,,,,3.074462,3.595542,2.601407,-647.429993,853.691406,-200.103592,12.930687,1.955534,4.095703,-647.078430,667.384521,-324.685425,-9.778697,-20.429804,-3.796431,-602.107056,441.547272,-310.873413,177.133255,-51.774136,-154.632614,-626.683228,250.103683,-206.819962,170.641449,-43.563660,-171.006210,-716.332581,77.965645,-200.265396,171.614441,-40.245663,176.052216,-642.750732,-8.386805,-319.937653
25,0.069444,,,,,,,3.053942,3.650156,2.572015,-647.500977,853.807373,-199.930725,12.840265,2.075107,4.197530,-647.380981,667.494751,-324.482452,-9.719675,-20.330048,-3.736677,-602.418274,441.575592,-310.589966,177.201752,-51.785225,-154.601776,-626.790649,250.113220,-206.702774,170.646378,-43.552784,-171.071808,-716.397339,77.909821,-200.223618,171.581070,-40.247677,175.988647,-642.744934,-8.383803,-319.932556
26,0.072222,,,,,,,3.039616,3.692211,2.570485,-647.556702,853.902832,-199.792908,12.798857,2.140048,4.130319,-647.658813,667.537964,-324.241547,-9.666721,-20.303093,-3.687454,-602.657837,441.629303,-310.387299,177.080307,-51.561920,-154.837967,-627.072144,250.067444,-206.539169,171.041000,-43.249096,-170.886902,-716.719727,77.604195,-199.712173,171.576141,-40.232979,175.961945,-642.758423,-8.380782,-319.926147
27,0.075000,,,,,,,3.023662,3.740405,2.523298,-647.599915,853.968933,-199.598465,12.772715,2.151199,4.070135,-647.917419,667.592407,-324.046356,-9.650494,-20.277229,-3.661767,-602.902466,441.680634,-310.149200,176.162598,-52.196815,-155.946655,-627.491943,249.808899,-206.282120,171.029587,-43.257122,-170.936417,-716.776245,77.548950,-199.663651,171.566254,-40.225826,175.931732,-642.773682,-8.376066,-319.922424
28,0.077778,,,,,,,3.020853,3.796472,2.515263,-647.677063,854.095581,-199.443466,12.759922,2.224068,4.039309,-648.148865,667.641296,-323.859772,-9.541395,-20.273716,-3.588364,-603.204529,441.707092,-309.891449,176.334442,-52.074455,-155.894989,-627.795410,249.748978,-206.049850,171.020477,-43.268936,-170.991669,-716.834229,77.487053,-199.609940,171.563492,-40.215191,175.927567,-642.786072,-8.377109,-319.916901
29,0.080556,,,,,,,3.066124,3.838629,2.004880,-647.292847,853.890930,-199.674805,12.814351,2.257877,3.958703,-648.397705,667.691406,-323.656067,-9.572400,-20.206211,-3.596976,-603.481445,441.787506,-309.626831,176.416504,-52.145885,-155.802353,-627.882446,249.698761,-205.918732,171.228638,-43.298595,-170.379944,-717.110962,77.124504,-199.370407,171.546463,-40.186596,175.858994,-642.792664,-8.366710,-319.895721
30,0.083333,,,,,,,3.053253,3.878587,1.995281,-647.335083,853.990417,-199.542267,12.821526,2.290023,3.884838,-648.643982,667.754761,-323.456177,-9.529010,-20.177982,-3.557090,-603.761047,441.813904,-309.351837,176.475906,-52.187355,-155.785995,-627.990295,249.693512,-205.752014,171.207825,-43.264843,-170.444626,-717.182129,77.067711,-199.274796,171.577789,-40.189716,175.960617,-642.828186,-8.378410,-319.878998
31,0.086111,,,,,,,3.059927,3.938750,2.049762,-647.408142,854.171509,-199.445099,12.816091,2.308344,3.852675,-648.853821,667.803467,-323.226593,-9.841508,-20.038631,-3.760846,-604.099182,441.868744,-309.004944,176.667221,-52.218391,-155.517899,-628.219788,249.690933,-205.493439,171.225296,-43.231674,-170.509552,-717.246033,77.019981,-199.224274,171.555511,-40.177189,175.851532,-642.835266,-8.362473,-319.896667
32,0.088889,,,,,,,3.049536,3.973787,2.021184,-647.441528,854.271484,-199.327225,12.798284,2.344598,3.807194,-649.053345,667.844849,-323.013306,-9.894039,-19.982119,-3.782140,-604.347595,441.915894,-308.741394,177.284821,-51.971294,-154.942978,-628.131836,249.864182,-205.378464,171.272507,-43.203030,-170.505646,-717.299500,76.936646,-199.122803,171.563171,-40.158237,175.834167,-642.856628,-8.358070,-319.898956
33,0.091667,,,,,,,3.031743,4.017661,2.003625,-647.487732,854.374695,-199.177322,12.734724,2.409187,3.807601,-649.288208,667.904419,-322.774292,-9.730483,-19.986198,-3.748247,-604.653809,441.914246,-308.352631,177.329971,-51.988857,-154.957993,-628.268921,249.857635,-205.186844,171.288589,-43.221535,-170.588852,-717.383728,76.867950,-199.072540,171.701004,-40.052238,175.996384,-642.960083,-8.382969,-319.912903
34,0.094444,,,,,,,3.005642,4.049816,1.982635,-647.468994,854.484375,-199.041443,12.803114,2.283306,3.689737,-649.554199,667.917908,-322.402496,-9.958224,-19.896616,-3.909701,-604.940674,441.986511,-307.981476,177.524658,-52.033829,-154.723267,-628.282654,249.894699,-205.013214,171.278488,-43.219284,-170.628342,-717.465088,76.788399,-198.996719,171.939880,-39.855579,176.186462,-643.027039,-8.340644,-319.958557
35,0.097222,,,,,,,2.975212,4.065273,1.824934,-647.423950,854.459717,-198.906555,12.783868,2.341339,3.665256,-649.734924,667.967407,-322.189728,-9.732974,-20.010553,-3.807081,-605.222961,441.989838,-307.610504,177.345734,-51.988194,-154.967163,-628.507019,249.878723,-204.830826,171.285522,-43.224194,-170.687363,-717.566040,76.718979,-198.948715,171.943466,-39.849586,176.183914,-643.056885,-8.343015,-319.966339
36,0.100000,,,,,,,2.944139,4.088689,1.785811,-647.413330,854.570068,-198.718445,12.758244,2.375868,3.640604,-649.886780,668.029419,-321.968170,-9.290188,-20.083565,-3.461718,-605.395630,442.016449,-307.302490,177.428543,-52.134129,-154.896118,-628.580750,249.837143,-204.653259,171.353485,-43.175320,-170.653061,-717.642273,76.654465,-198.886826,172.123398,-39.762184,176.377579,-643.111145,-8.331606,-320.015564
