Format Version,1.23,Take Name,Neuro Ref 2023,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-06 07.36.54.759 P. M.,Total Frames in Take,3800,Total Exported Frames,3800,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,Cadera,Cadera,Cadera,Cadera,Cadera,Cadera,Muslo,Muslo,Muslo,Muslo,Muslo,Muslo,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Pie,Pie,Pie,Pie,Pie,Pie
,ID,"8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,2.794407,11.604313,-0.468340,-664.726624,856.097107,-362.459747,3.174438,2.833423,1.904277,-684.772583,663.505615,-465.885010,-7.007336,-21.783424,-1.505813,-648.311279,439.714355,-423.307281,-176.830383,-49.786236,-168.531784,-655.182068,234.884277,-357.139587,-179.403366,-43.215248,-177.342941,-717.238831,61.316925,-405.090363,178.002914,-40.983658,179.036911,-637.763855,-6.057841,-542.709534
1,0.002778,,,,,,,2.849253,11.549206,-0.578687,-664.783936,856.062500,-362.315491,3.175382,2.829320,1.900165,-684.769531,663.507874,-465.887756,-7.002994,-21.783497,-1.504595,-648.311829,439.714447,-423.307220,-176.853104,-49.798450,-168.558517,-655.174805,234.889206,-357.142029,-179.413345,-43.216156,-177.349915,-717.235596,61.319035,-405.085632,178.013199,-40.978691,179.034836,-637.757080,-6.045339,-542.708069
2,0.005556,,,,,,,2.953459,11.546197,-0.546158,-664.802612,856.000977,-362.545837,3.173310,2.830429,1.912187,-684.771545,663.509460,-465.888123,-7.014221,-21.784615,-1.503668,-648.309387,439.719177,-423.307404,-176.853317,-49.794701,-168.551163,-655.173950,234.899521,-357.132477,-179.413956,-43.219662,-177.352249,-717.235535,61.322243,-405.083954,178.013672,-40.975407,179.035950,-637.760742,-6.041763,-542.708252
3,0.008333,,,,,,,2.848034,11.548746,-0.572082,-664.788574,856.064453,-362.317413,3.176148,2.832251,1.909560,-684.773376,663.509827,-465.886810,-7.007675,-21.786999,-1.506871,-648.314331,439.716705,-423.301544,-176.820221,-49.785751,-168.515228,-655.191895,234.880005,-357.139893,-179.407761,-43.214054,-177.343826,-717.242371,61.324043,-405.090759,178.022110,-40.981853,179.040359,-637.758423,-6.043639,-542.707825
4,0.011111,,,,,,,3.010674,11.482302,-0.656326,-664.873718,855.961853,-362.395020,3.179861,2.830195,1.906694,-684.769409,663.512146,-465.879639,-7.008955,-21.783470,-1.504086,-648.311157,439.720428,-423.304749,-176.830414,-49.788502,-168.528320,-655.183777,234.881927,-357.137817,-179.407639,-43.210880,-177.341644,-717.239502,61.320927,-405.083252,177.996628,-40.985352,179.038666,-637.767151,-6.051982,-542.708313
5,0.013889,,,,,,,2.850984,11.551575,-0.574088,-664.793579,856.066956,-362.304474,3.177256,2.835891,1.913464,-684.769226,663.512390,-465.879242,-7.002166,-21.787403,-1.504831,-648.314270,439.717834,-423.300781,-176.818390,-49.781689,-168.518204,-655.193420,234.888046,-357.136932,-179.413025,-43.218903,-177.351547,-717.237122,61.321037,-405.083801,178.005844,-40.984570,179.047607,-637.763794,-6.052920,-542.704895
6,0.016667,,,,,,,2.859777,11.549386,-0.572823,-664.800659,856.056396,-362.304169,3.180190,2.833849,1.909030,-684.772400,663.513367,-465.876099,-7.009861,-21.784422,-1.501912,-648.310547,439.721283,-423.305786,-176.835632,-49.798004,-168.537521,-655.178711,234.885345,-357.133942,-179.414230,-43.219833,-177.347168,-717.235168,61.319031,-405.086578,178.008713,-40.969639,179.033524,-637.756165,-6.042146,-542.707092
7,0.019444,,,,,,,2.802264,11.608551,-0.463388,-664.741211,856.090881,-362.426300,3.176661,2.835134,1.913717,-684.771912,663.516357,-465.873352,-7.008870,-21.783785,-1.506683,-648.311707,439.723236,-423.304871,-176.807343,-49.780533,-168.506866,-655.190186,234.887039,-357.145721,-179.409439,-43.215252,-177.340622,-717.234680,61.318970,-405.084412,178.018036,-40.976006,179.038559,-637.755005,-6.048458,-542.707214
8,0.022222,,,,,,,2.808324,11.607587,-0.466562,-664.744385,856.095398,-362.427185,3.178054,2.829484,1.910475,-684.770874,663.517761,-465.873810,-7.002331,-21.789865,-1.506977,-648.311035,439.725067,-423.303009,-176.841537,-49.794209,-168.544983,-655.173279,234.893997,-357.140289,-179.414795,-43.221386,-177.345062,-717.228821,61.322666,-405.084900,178.010803,-40.975601,179.037582,-637.753906,-6.044816,-542.708801
9,0.025000,,,,,,,2.874395,11.550347,-0.578740,-664.805847,856.049561,-362.283691,3.176920,2.828660,1.915251,-684.773987,663.516174,-465.869720,-7.002860,-21.789177,-1.509824,-648.314453,439.721497,-423.303619,-176.800568,-49.781921,-168.511063,-655.178650,234.892670,-357.138184,-179.407822,-43.219860,-177.342407,-717.231079,61.323711,-405.088196,177.996094,-40.986408,179.038284,-637.757263,-6.053916,-542.709778
10,0.027778,,,,,,,2.806831,11.601195,-0.467306,-664.765991,856.098328,-362.416718,3.172382,2.829176,1.920212,-684.775024,663.522949,-465.869629,-7.000399,-21.790972,-1.501925,-648.310974,439.725220,-423.300751,-176.837967,-49.797314,-168.553665,-655.175293,234.900848,-357.134277,-179.411163,-43.216549,-177.348114,-717.237366,61.324017,-405.085876,178.010483,-40.977531,179.031509,-637.757751,-6.039638,-542.709351
11,0.030556,,,,,,,2.874120,11.549234,-0.574382,-664.815613,856.049316,-362.274445,3.179770,2.829915,1.918615,-684.777527,663.520142,-465.867401,-7.005080,-21.786848,-1.500379,-648.312073,439.726990,-423.304443,-176.817734,-49.787880,-168.522995,-655.183838,234.883514,-357.138672,-179.413925,-43.214558,-177.350311,-717.235657,61.324394,-405.088959,178.018509,-40.981071,179.037003,-637.754761,-6.043240,-542.710571
12,0.033333,,,,,,,2.875271,11.548416,-0.575849,-664.819092,856.051025,-362.270813,3.179884,2.831636,1.915824,-684.777954,663.520447,-465.863037,-7.001894,-21.789114,-1.502638,-648.314819,439.724609,-423.300049,-176.818726,-49.790211,-168.521774,-655.192444,234.890289,-357.131439,-179.412689,-43.215527,-177.351776,-717.234741,61.324547,-405.088165,178.011032,-40.979057,179.032562,-637.759521,-6.042469,-542.711243
13,0.036111,,,,,,,2.874895,11.548489,-0.574716,-664.823730,856.051941,-362.264801,3.180042,2.835413,1.921605,-684.779602,663.521362,-465.859741,-7.007501,-21.783125,-1.501174,-648.317017,439.727325,-423.300079,-176.825027,-49.788109,-168.537186,-655.191284,234.887604,-357.135345,-179.414474,-43.220356,-177.353683,-717.236694,61.321533,-405.088989,178.012817,-40.975956,179.036911,-637.760498,-6.041760,-542.713257
14,0.038889,,,,,,,2.876850,11.549303,-0.576062,-664.823242,856.051941,-362.257141,3.174979,2.831018,1.924384,-684.785156,663.520935,-465.853241,-7.007951,-21.787024,-1.506764,-648.318115,439.723663,-423.295471,-176.810104,-49.782948,-168.506348,-655.195374,234.881073,-357.133942,-179.410858,-43.215019,-177.347656,-717.240356,61.321186,-405.089569,178.004547,-40.982166,179.035141,-637.764038,-6.054756,-542.709167
15,0.041667,,,,,,,2.876895,11.543013,-0.580673,-664.845642,856.054993,-362.251434,3.180498,2.830959,1.920671,-684.786621,663.520508,-465.851288,-7.005705,-21.787149,-1.505133,-648.319519,439.722168,-423.293121,-176.818207,-49.788368,-168.515732,-655.197571,234.886200,-357.136414,-179.409653,-43.217575,-177.347427,-717.238098,61.322701,-405.087189,177.992981,-40.981133,179.035614,-637.767639,-6.051926,-542.710999
16,0.044444,,,,,,,2.879506,11.545010,-0.579067,-664.848328,856.054138,-362.245544,3.180593,2.836274,1.922964,-684.790771,663.522400,-465.846191,-7.003740,-21.781693,-1.500248,-648.319519,439.729401,-423.298737,-176.801834,-49.782146,-168.500946,-655.205444,234.877472,-357.135864,-179.409592,-43.220615,-177.349045,-717.235474,61.322037,-405.087555,177.991501,-40.987797,179.042831,-637.767334,-6.054269,-542.715027
17,0.047222,,,,,,,2.876084,11.544275,-0.577760,-664.852905,856.052002,-362.236237,3.186804,2.835485,1.921218,-684.795837,663.523193,-465.843170,-7.005275,-21.782885,-1.503135,-648.324097,439.722198,-423.291138,-176.846970,-49.808304,-168.550049,-655.190796,234.890915,-357.129547,-179.404129,-43.217693,-177.349426,-717.236877,61.322163,-405.086548,178.007126,-40.977482,179.034851,-637.759888,-6.042943,-542.713318
18,0.050000,,,,,,,3.026309,11.482605,-0.654414,-664.938965,855.963989,-362.317261,3.182647,2.835858,1.921178,-684.799011,663.523254,-465.838593,-7.001298,-21.780148,-1.500685,-648.324951,439.725372,-423.290436,-176.775757,-49.769661,-168.480392,-655.203003,234.881943,-357.137238,-179.413803,-43.226242,-177.355957,-717.235718,61.324074,-405.085632,177.988663,-40.981468,179.038910,-637.765625,-6.051132,-542.709290
19,0.052778,,,,,,,2.864898,11.550274,-0.574938,-664.850708,856.066406,-362.220978,3.195956,2.839653,1.919319,-684.804199,663.520935,-465.831207,-7.004246,-21.779839,-1.503103,-648.328247,439.726074,-423.290680,-176.797241,-49.776958,-168.501450,-655.200928,234.888062,-357.131653,-179.404358,-43.211758,-177.340714,-717.240784,61.323879,-405.089111,177.997238,-40.979874,179.030396,-637.763550,-6.040726,-542.715210
20,0.055556,,,,,,,2.866460,11.552963,-0.576645,-664.855164,856.066467,-362.220856,3.186389,2.841625,1.921993,-684.812073,663.525940,-465.827301,-6.998019,-21.779705,-1.502222,-648.329041,439.724854,-423.286621,-176.798035,-49.782089,-168.503326,-655.197876,234.884857,-357.131653,-179.413834,-43.223618,-177.346817,-717.237549,61.323662,-405.085693,178.006027,-40.976994,179.034042,-637.758301,-6.041151,-542.710022
21,0.058333,,,,,,,2.880188,11.550636,-0.578138,-664.864380,856.053711,-362.214264,3.186146,2.849056,1.925343,-684.816772,663.528931,-465.822479,-7.008760,-21.772219,-1.501042,-648.335266,439.727295,-423.289337,-176.817276,-49.803944,-168.523254,-655.183838,234.893082,-357.131592,-179.409073,-43.224583,-177.356903,-717.231873,61.322220,-405.085632,178.010422,-40.977066,179.033783,-637.755249,-6.041815,-542.710449
22,0.061111,,,,,,,2.880691,11.551518,-0.578414,-664.866089,856.051392,-362.205566,3.192290,2.845534,1.917674,-684.822388,663.524414,-465.816742,-6.994058,-21.774862,-1.501674,-648.338501,439.724518,-423.283173,-176.828705,-49.796051,-168.533829,-655.183167,234.889236,-357.127106,-179.405624,-43.220261,-177.351517,-717.233154,61.325817,-405.081879,177.992981,-40.980064,179.036972,-637.762451,-6.054841,-542.712708
23,0.063889,,,,,,,2.883926,11.550535,-0.580792,-664.870056,856.051086,-362.192413,3.188960,2.848554,1.940008,-684.823120,663.535828,-465.809143,-6.996417,-21.774269,-1.502754,-648.341003,439.722870,-423.280334,-176.818970,-49.809326,-168.525253,-655.187988,234.884995,-357.131927,-179.409637,-43.223866,-177.351654,-717.234680,61.322990,-405.083191,178.012573,-40.976093,179.036057,-637.759338,-6.042897,-542.712708
24,0.066667,,,,,,,2.884372,11.552478,-0.580099,-664.875244,856.052612,-362.193085,3.194062,2.851894,1.925763,-684.836304,663.532227,-465.803711,-6.991776,-21.771774,-1.498156,-648.346924,439.738098,-423.285370,-176.820663,-49.805809,-168.525330,-655.190063,234.889893,-357.129700,-179.412399,-43.222435,-177.359787,-717.237488,61.323223,-405.081055,177.993286,-40.982384,179.040359,-637.765503,-6.055209,-542.713135
25,0.069444,,,,,,,2.866137,11.557344,-0.572147,-664.870850,856.068665,-362.187775,3.195814,2.856680,1.924735,-684.842285,663.533447,-465.797546,-6.992140,-21.771837,-1.498564,-648.344299,439.729279,-423.276886,-176.816254,-49.807903,-168.519714,-655.193787,234.884018,-357.130066,-179.412109,-43.221622,-177.353851,-717.237183,61.320103,-405.081787,178.007202,-40.976093,179.034897,-637.767639,-6.039577,-542.714539
26,0.072222,,,,,,,2.868043,11.558825,-0.573397,-664.876831,856.064270,-362.174042,3.197639,2.857467,1.937438,-684.845520,663.537720,-465.790131,-6.997810,-21.766054,-1.494357,-648.343506,439.730896,-423.276459,-176.850021,-49.832115,-168.561020,-655.176025,234.895721,-357.128906,-179.404205,-43.214870,-177.348160,-717.238037,61.321976,-405.079071,177.999481,-40.986343,179.035278,-637.759949,-6.043832,-542.721741
27,0.075000,,,,,,,2.884524,11.562090,-0.575195,-664.872314,856.045227,-362.170746,3.196005,2.852242,1.939097,-684.856445,663.540283,-465.786285,-6.990809,-21.770493,-1.498845,-648.355530,439.725372,-423.268463,-176.829056,-49.810043,-168.535675,-655.182190,234.895065,-357.125427,-179.406631,-43.223454,-177.355652,-717.235474,61.325417,-405.081116,177.999786,-40.982250,179.042221,-637.764648,-6.054551,-542.715149
28,0.077778,,,,,,,2.887088,11.561878,-0.577690,-664.874084,856.046631,-362.160553,3.194725,2.863267,1.937073,-684.861389,663.538940,-465.778625,-6.990962,-21.764090,-1.492877,-648.356689,439.729095,-423.264282,-176.825897,-49.816391,-168.526810,-655.189575,234.886780,-357.128326,-179.402740,-43.219322,-177.350372,-717.235474,61.320187,-405.082062,177.996521,-40.982132,179.046402,-637.766235,-6.055265,-542.714722
29,0.080556,,,,,,,2.867009,11.560099,-0.571703,-664.893250,856.067627,-362.154388,3.202654,2.866373,1.929507,-684.873901,663.532104,-465.772247,-6.998753,-21.759787,-1.495762,-648.361389,439.726471,-423.262085,-176.813339,-49.806690,-168.508896,-655.201416,234.882919,-357.123962,-179.411469,-43.216389,-177.357178,-717.239807,61.320286,-405.080200,178.008591,-40.973831,179.040237,-637.767029,-6.041951,-542.714172
30,0.083333,,,,,,,2.888479,11.563848,-0.579973,-664.886230,856.048706,-362.146973,3.203396,2.871644,1.928451,-684.881592,663.528381,-465.762573,-6.980108,-21.767561,-1.499463,-648.370300,439.736053,-423.260345,-176.819473,-49.807762,-168.521484,-655.194946,234.886246,-357.120148,-179.421143,-43.226627,-177.366135,-717.236755,61.323826,-405.078552,177.992371,-40.978558,179.030991,-637.772827,-6.052155,-542.711609
31,0.086111,,,,,,,2.885494,11.559937,-0.578015,-664.905029,856.053223,-362.137573,3.204181,2.877014,1.928911,-684.886475,663.529968,-465.755554,-6.980903,-21.766594,-1.501242,-648.374146,439.735779,-423.256104,-176.806549,-49.805218,-168.504929,-655.195068,234.884201,-357.118256,-179.414261,-43.220757,-177.354279,-717.237061,61.321827,-405.078430,178.013550,-40.976799,179.039276,-637.764771,-6.042289,-542.711121
32,0.088889,,,,,,,2.870324,11.565231,-0.574092,-664.901611,856.066223,-362.131073,3.205013,2.868978,1.925580,-684.892456,663.531311,-465.749268,-6.977243,-21.758358,-1.493367,-648.371338,439.738647,-423.257355,-176.839249,-49.823868,-168.533752,-655.189270,234.893082,-357.111481,-179.416290,-43.225697,-177.356613,-717.235962,61.320045,-405.074066,178.008499,-40.978863,179.041061,-637.759644,-6.043569,-542.714966
33,0.091667,,,,,,,2.886722,11.564287,-0.580757,-664.910461,856.051880,-362.124420,3.204188,2.879636,1.928014,-684.901489,663.531067,-465.739441,-6.979463,-21.760036,-1.496881,-648.374329,439.734985,-423.249634,-176.824554,-49.821507,-168.525681,-655.184265,234.886093,-357.109406,-179.412582,-43.225624,-177.355362,-717.235291,61.322277,-405.079498,178.001358,-40.983913,179.037796,-637.763794,-6.040762,-542.716919
34,0.094444,,,,,,,2.884388,11.565625,-0.577231,-664.913086,856.047546,-362.110809,3.202484,2.880043,1.946197,-684.902710,663.538269,-465.735443,-6.987695,-21.750118,-1.484818,-648.370117,439.732361,-423.240082,-176.837692,-49.836250,-168.538651,-655.193359,234.886108,-357.112640,-179.415283,-43.225052,-177.364243,-717.231873,61.321140,-405.077209,178.004440,-40.973843,179.034271,-637.763184,-6.040299,-542.713013
35,0.097222,,,,,,,2.890748,11.567481,-0.577950,-664.919312,856.049988,-362.104675,3.201640,2.886297,1.941644,-684.921692,663.537415,-465.724091,-6.973500,-21.755400,-1.486233,-648.377136,439.741058,-423.242767,-176.796173,-49.808037,-168.505585,-655.186951,234.885117,-357.114563,-179.419174,-43.225449,-177.366333,-717.235229,61.321072,-405.076447,178.017334,-40.976864,179.043915,-637.761414,-6.042369,-542.715820
