Format Version,1.23,Take Name,Roman,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-06 07.37.22.619 P. M.,Total Frames in Take,7694,Total Exported Frames,7694,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,Cadera,Cadera,Cadera,Cadera,Cadera,Cadera,Muslo,Muslo,Muslo,Muslo,Muslo,Muslo,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Pie,Pie,Pie,Pie,Pie,Pie
,ID,"8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,1.682826,5.297669,-0.693669,-675.677673,856.590393,-382.537964,3.291359,-2.365327,2.950966,-682.462158,662.620789,-485.640594,-6.554616,-26.275608,-1.174890,-646.939575,439.846771,-440.761261,-179.372742,-47.063335,-167.920502,-656.505066,236.558655,-368.103424,178.901581,-41.934792,-177.334641,-718.250793,61.404877,-407.500275,178.108032,-40.849567,179.008469,-637.753784,-5.990786,-542.416260
1,0.002778,,,,,,,1.691772,5.290340,-0.740240,-675.677002,856.561401,-382.523041,3.295775,-2.366976,2.965411,-682.469482,662.632935,-485.623291,-6.555675,-26.263800,-1.173393,-646.948364,439.852478,-440.753082,-179.376663,-47.064167,-167.931671,-656.506104,236.560501,-368.101807,178.938522,-41.936134,-177.303864,-718.199158,61.411022,-407.553192,178.116074,-40.843201,179.002411,-637.747070,-5.988084,-542.424744
2,0.005556,,,,,,,1.735432,5.297628,-0.748187,-675.656555,856.518250,-382.493591,3.292712,-2.365393,2.963467,-682.479492,662.632141,-485.616516,-6.547385,-26.262289,-1.166672,-646.952209,439.854828,-440.744293,-179.375748,-47.064922,-167.931396,-656.510681,236.559723,-368.094543,178.935379,-41.938087,-177.312485,-718.196594,61.410824,-407.549500,178.116196,-40.848499,179.009460,-637.744751,-5.988605,-542.426819
3,0.008333,,,,,,,1.727712,5.302598,-0.737755,-675.658203,856.510620,-382.493530,3.289029,-2.364305,2.964656,-682.494812,662.633362,-485.602783,-6.567865,-26.244484,-1.159622,-646.970459,439.848328,-440.719238,-179.370316,-47.070026,-167.939224,-656.513306,236.559860,-368.093475,178.904205,-41.988342,-177.329620,-718.229248,61.405167,-407.561096,178.116486,-40.842720,179.004028,-637.752563,-5.990847,-542.432800
4,0.011111,,,,,,,1.727065,5.308277,-0.742964,-675.659546,856.514160,-382.485657,3.285283,-2.363698,2.961757,-682.508606,662.635742,-485.592865,-6.562292,-26.245527,-1.161422,-646.987732,439.850983,-440.703033,-179.365204,-47.077942,-167.934692,-656.522888,236.555084,-368.087524,178.904831,-41.940926,-177.329163,-718.206604,61.396828,-407.559143,178.100311,-40.853580,179.005142,-637.753723,-5.997953,-542.426941
5,0.013889,,,,,,,1.724786,5.315230,-0.742855,-675.651917,856.515747,-382.488647,3.281816,-2.357012,2.962969,-682.518494,662.636047,-485.579803,-6.568866,-26.242966,-1.168323,-647.007813,439.846191,-440.686249,-179.361877,-47.084797,-167.938370,-656.529846,236.553207,-368.077209,178.906693,-41.893288,-177.344437,-718.243103,61.389668,-407.496948,178.115311,-40.840542,179.004822,-637.752014,-5.993132,-542.433533
6,0.016667,,,,,,,1.684200,5.317354,-0.737864,-675.672852,856.565247,-382.510651,3.286910,-2.355710,2.957160,-682.533630,662.635254,-485.567352,-6.561604,-26.243217,-1.164543,-647.022827,439.848541,-440.673553,-179.363235,-47.083920,-167.940033,-656.538147,236.549347,-368.066986,178.914215,-41.936543,-177.323990,-718.217773,61.392532,-407.557739,178.108887,-40.841618,179.003922,-637.750549,-5.998077,-542.436096
7,0.019444,,,,,,,1.726421,5.319201,-0.747965,-675.661621,856.524292,-382.481232,3.285532,-2.345662,2.939849,-682.548584,662.622803,-485.556915,-6.561141,-26.240377,-1.166361,-647.036987,439.850037,-440.651947,-179.370895,-47.089455,-167.948318,-656.545593,236.552048,-368.052216,178.876175,-41.987938,-177.351654,-718.239319,61.389069,-407.572571,178.112579,-40.841377,179.002655,-637.746887,-5.995176,-542.437805
8,0.022222,,,,,,,1.719204,5.324539,-0.741373,-675.658875,856.520813,-382.483673,3.281154,-2.345876,2.956269,-682.557983,662.635559,-485.539795,-6.556058,-26.245930,-1.174128,-647.063843,439.844025,-440.629181,-179.364059,-47.095032,-167.945709,-656.556091,236.545654,-368.041687,178.871597,-41.939323,-177.366989,-718.269531,61.379635,-407.509766,178.102997,-40.842442,179.000031,-637.747192,-5.995162,-542.441040
9,0.025000,,,,,,,1.716985,5.325688,-0.745222,-675.663513,856.522644,-382.481384,3.345635,-2.392591,2.909206,-682.563660,662.625122,-485.502716,-6.572877,-26.233917,-1.177942,-647.075256,439.845001,-440.607452,-179.358444,-47.108391,-167.951019,-656.558960,236.552139,-368.025665,178.909500,-41.896793,-177.345993,-718.247009,61.379288,-407.495941,178.105423,-40.839279,179.004120,-637.748230,-6.000502,-542.443054
10,0.027778,,,,,,,1.721217,5.331278,-0.750435,-675.661804,856.529358,-382.479858,3.312679,-2.388293,2.891033,-682.579224,662.608337,-485.478821,-6.566443,-26.239952,-1.180108,-647.103638,439.842438,-440.575256,-179.352493,-47.099686,-167.946304,-656.574768,236.555450,-368.007690,178.907425,-41.893124,-177.353485,-718.249268,61.379009,-407.495941,178.100586,-40.840500,178.992889,-637.752075,-6.001108,-542.441162
11,0.030556,,,,,,,1.671222,5.345261,-0.700605,-675.686707,856.608887,-382.509216,3.306925,-2.391865,2.913410,-682.585388,662.616394,-485.460968,-6.569187,-26.232693,-1.175331,-647.114807,439.845245,-440.548309,-179.347031,-47.098492,-167.955673,-656.593262,236.554459,-367.983612,178.864960,-41.942074,-177.370346,-718.275635,61.375351,-407.510895,178.101425,-40.832085,178.997971,-637.757446,-6.000876,-542.443176
12,0.033333,,,,,,,1.668351,5.347433,-0.703776,-675.682251,856.616516,-382.519623,3.308309,-2.397260,2.893643,-682.616699,662.605896,-485.442627,-6.576028,-26.227131,-1.173542,-647.132263,439.848755,-440.522614,-179.355865,-47.099339,-167.971634,-656.600159,236.560974,-367.964996,178.899536,-41.895416,-177.359344,-718.247559,61.374680,-407.502197,178.089783,-40.833954,178.992355,-637.757141,-6.003446,-542.443604
13,0.036111,,,,,,,1.668168,5.353533,-0.702195,-675.680054,856.617676,-382.520477,3.310127,-2.389544,2.885823,-682.614563,662.604919,-485.428131,-6.573645,-26.228584,-1.179588,-647.151855,439.846161,-440.490021,-179.355286,-47.110821,-167.974548,-656.616577,236.559906,-367.943268,178.883636,-41.991177,-177.359924,-718.247803,61.379147,-407.570343,178.096741,-40.838120,179.000702,-637.752869,-6.002625,-542.447205
14,0.038889,,,,,,,1.703016,5.361385,-0.705236,-675.660461,856.571228,-382.502411,3.297111,-2.396878,2.889415,-682.642883,662.601440,-485.405304,-6.574490,-26.218107,-1.172266,-647.169739,439.846954,-440.457184,-179.346252,-47.108620,-167.975128,-656.633850,236.563202,-367.922760,178.868805,-41.993877,-177.368042,-718.245605,61.375210,-407.563660,178.096832,-40.841675,178.994095,-637.750549,-6.002445,-542.450378
15,0.041667,,,,,,,1.689812,5.367301,-0.694810,-675.662781,856.567078,-382.503632,3.298822,-2.401684,2.874794,-682.660889,662.592896,-485.385071,-6.587572,-26.215691,-1.183237,-647.197021,439.846588,-440.424744,-179.357452,-47.113834,-167.990662,-656.648193,236.552673,-367.897186,178.876633,-41.989273,-177.373505,-718.249695,61.373737,-407.567200,178.092896,-40.839493,178.994751,-637.750488,-6.004867,-542.449707
16,0.044444,,,,,,,1.695423,5.368360,-0.703840,-675.667297,856.575684,-382.500214,3.282765,-2.390238,2.882376,-682.669861,662.596191,-485.369385,-6.582414,-26.211983,-1.176583,-647.213562,439.849243,-440.388275,-179.330276,-47.095249,-167.964630,-656.676270,236.545609,-367.862030,178.893112,-41.899620,-177.373383,-718.252258,61.365440,-407.501892,178.095398,-40.835281,178.999847,-637.752075,-6.008201,-542.445801
17,0.047222,,,,,,,1.691160,5.373025,-0.701678,-675.668945,856.576538,-382.516785,3.274288,-2.389364,2.882513,-682.685303,662.588562,-485.352844,-6.585203,-26.212759,-1.181478,-647.246704,439.846375,-440.348969,-179.351105,-47.113144,-167.998932,-656.693909,236.543243,-367.836670,178.869171,-41.947510,-177.389832,-718.282532,61.361046,-407.504517,178.097198,-40.838165,178.991898,-637.750427,-6.007618,-542.453552
18,0.050000,,,,,,,1.685245,5.375771,-0.702646,-675.671082,856.578613,-382.517181,3.273752,-2.395117,2.871374,-682.707153,662.584106,-485.327271,-6.607951,-26.200047,-1.191179,-647.272522,439.851501,-440.304749,-179.339203,-47.106632,-167.998718,-656.712524,236.545242,-367.808594,178.910202,-41.947918,-177.357513,-718.231750,61.366318,-407.557434,178.099060,-40.832939,178.993683,-637.751892,-6.011546,-542.452637
19,0.052778,,,,,,,1.682371,5.381335,-0.698615,-675.670593,856.580566,-382.525909,3.268938,-2.398014,2.862242,-682.719116,662.579407,-485.309479,-6.609352,-26.198324,-1.185932,-647.300354,439.852814,-440.260925,-179.339172,-47.106953,-168.006134,-656.742432,236.549072,-367.767303,178.869492,-41.948132,-177.402466,-718.287964,61.356102,-407.504333,178.098572,-40.836514,178.986862,-637.753113,-6.014669,-542.456482
20,0.055556,,,,,,,1.676100,5.384692,-0.691425,-675.674072,856.584106,-382.539093,3.259290,-2.394974,2.859694,-682.736755,662.572632,-485.284790,-6.615242,-26.192474,-1.188344,-647.330688,439.848389,-440.216583,-179.331436,-47.109138,-168.014023,-656.757629,236.551834,-367.732635,178.875809,-42.004345,-177.389755,-718.262756,61.355568,-407.556519,178.095398,-40.836384,178.985626,-637.752197,-6.020656,-542.458923
21,0.058333,,,,,,,1.670623,5.388763,-0.691571,-675.679382,856.589539,-382.544617,3.250682,-2.393292,2.873759,-682.768127,662.567322,-485.258118,-6.624424,-26.185274,-1.188164,-647.357422,439.850220,-440.169281,-179.324509,-47.157536,-168.037903,-656.778503,236.554825,-367.664307,178.865265,-42.001793,-177.400772,-718.270142,61.353279,-407.552338,178.089310,-40.839371,178.991440,-637.755615,-6.017334,-542.461853
22,0.061111,,,,,,,1.656146,5.392080,-0.679284,-675.689209,856.585876,-382.551239,3.219319,-2.407301,2.833925,-682.804443,662.582642,-485.230133,-6.627241,-26.182497,-1.190681,-647.395325,439.852875,-440.122925,-179.327988,-47.165459,-168.046143,-656.806824,236.556503,-367.630463,178.900955,-41.911377,-177.389877,-718.276794,61.348980,-407.488403,178.096939,-40.830669,178.981033,-637.761902,-6.016361,-542.456543
23,0.063889,,,,,,,1.664490,5.363790,-0.707118,-675.702698,856.579224,-382.517395,3.226019,-2.360266,2.825089,-682.815552,662.547119,-485.196320,-6.644171,-26.170465,-1.190443,-647.418457,439.854797,-440.071198,-179.335861,-47.166302,-168.060760,-656.827698,236.554688,-367.595703,178.870728,-42.004330,-177.399841,-718.281738,61.345921,-407.546356,178.094406,-40.827957,178.982452,-637.762695,-6.022092,-542.459778
24,0.066667,,,,,,,1.619898,5.392524,-0.683236,-675.708313,856.645569,-382.594727,3.188649,-2.403583,2.802802,-682.845276,662.556091,-485.182892,-6.626979,-26.180265,-1.196641,-647.474426,439.836853,-440.006897,-179.316025,-47.160255,-168.053177,-656.854980,236.567017,-367.560822,178.865479,-42.001114,-177.409271,-718.286438,61.345242,-407.540985,178.090820,-40.831669,178.975693,-637.759888,-6.022041,-542.458069
25,0.069444,,,,,,,1.611682,5.393265,-0.675332,-675.713806,856.650452,-382.610779,3.183556,-2.395552,2.789895,-682.874634,662.557739,-485.151062,-6.083875,-26.671932,-1.535208,-648.118835,439.474548,-439.875214,-179.304047,-47.156574,-168.058990,-656.880127,236.564194,-367.523285,178.854187,-41.961094,-177.435242,-718.315796,61.336845,-407.483337,178.091797,-40.830971,178.986053,-637.766724,-6.018587,-542.459778
26,0.072222,,,,,,,1.603027,5.393470,-0.673724,-675.714600,856.655457,-382.623718,3.182347,-2.393032,2.787356,-682.894897,662.553284,-485.128784,-6.089527,-26.664335,-1.533728,-648.154175,439.472717,-439.822113,-179.301086,-47.115540,-168.079147,-656.938293,236.561966,-367.484161,178.864655,-42.004841,-177.421707,-718.297729,61.341881,-407.533569,178.078171,-40.827599,178.971527,-637.769165,-6.016897,-542.460144
27,0.075000,,,,,,,1.621539,5.398935,-0.657717,-675.695984,856.611389,-382.617523,3.179385,-2.396469,2.778677,-682.916809,662.549988,-485.101685,-6.095207,-26.655098,-1.532119,-648.190186,439.483368,-439.777863,-179.293320,-47.122047,-168.079865,-656.968506,236.557281,-367.454865,178.888474,-41.978809,-177.412308,-718.284729,61.342545,-407.536346,178.085449,-40.827183,178.978958,-637.768555,-6.019884,-542.466980
28,0.077778,,,,,,,1.612101,5.403207,-0.651445,-675.691528,856.612610,-382.627197,3.210531,-2.410277,2.778013,-682.940918,662.559692,-485.063782,-6.103746,-26.643654,-1.527089,-648.229797,439.489532,-439.724823,-179.269226,-47.185238,-168.095230,-656.954895,236.538269,-367.421570,178.858734,-42.016884,-177.441589,-718.310303,61.331112,-407.534424,178.076920,-40.826435,178.963898,-637.776672,-6.020573,-542.467712
29,0.080556,,,,,,,1.572406,5.386538,-0.655597,-675.739319,856.679932,-382.684357,3.202564,-2.402924,2.769444,-682.965149,662.561523,-485.042328,-6.094384,-26.639322,-1.519564,-648.275208,439.502350,-439.668640,-179.302505,-47.107590,-168.100052,-657.019714,236.556351,-367.414307,178.859329,-42.019203,-177.449554,-718.318481,61.332962,-407.535278,178.072220,-40.826450,178.972443,-637.772949,-6.028702,-542.473145
30,0.083333,,,,,,,1.598150,5.367218,-0.666672,-675.728394,856.635437,-382.636169,3.196052,-2.407564,2.767224,-682.989685,662.559265,-485.015839,-6.098297,-26.631853,-1.518386,-648.318604,439.510193,-439.610901,-179.290070,-47.124233,-168.107330,-657.048218,236.557587,-367.376373,178.860733,-42.027424,-177.451370,-718.326111,61.332077,-407.534698,178.064178,-40.828060,178.962082,-637.775513,-6.031590,-542.474731
31,0.086111,,,,,,,1.557272,5.368454,-0.650849,-675.739197,856.671631,-382.675598,3.198382,-2.407191,2.758200,-683.014771,662.558472,-484.994904,-6.102446,-26.623470,-1.518469,-648.364136,439.517914,-439.565735,-179.275970,-47.190315,-168.136292,-657.044067,236.523224,-367.347473,178.859055,-42.032703,-177.459473,-718.340088,61.328560,-407.543701,178.054733,-40.819145,178.951294,-637.779175,-6.030278,-542.474731
32,0.088889,,,,,,,1.557798,5.368933,-0.655617,-675.735779,856.689575,-382.687897,3.187144,-2.403493,2.746228,-683.044006,662.559265,-484.972290,-6.081244,-26.613995,-1.522692,-648.401550,439.504486,-439.502289,-179.259949,-47.201077,-168.134323,-657.081848,236.526108,-367.317963,178.852539,-41.987617,-177.482285,-718.376892,61.315346,-407.477966,178.064423,-40.815693,178.952454,-637.782959,-6.035238,-542.482239
33,0.091667,,,,,,,1.569640,5.373013,-0.643861,-675.716309,856.666931,-382.690094,3.169871,-2.398079,2.735019,-683.076721,662.553833,-484.938354,-6.085677,-26.600706,-1.508619,-648.441711,439.523499,-439.453033,-179.257156,-47.195744,-168.150436,-657.113098,236.527527,-367.289642,178.843353,-42.045395,-177.484619,-718.362061,61.322590,-407.544556,178.056183,-40.812855,178.946823,-637.789734,-6.036169,-542.485962
34,0.094444,,,,,,,1.564082,5.371091,-0.641818,-675.713867,856.677490,-382.707245,3.164490,-2.398177,2.724182,-683.098755,662.551453,-484.916840,-6.074498,-26.583717,-1.467850,-648.477051,439.566345,-439.414337,-179.248810,-47.205910,-168.161072,-657.145935,236.526962,-367.255341,178.914474,-41.960537,-177.507111,-718.397095,61.338207,-407.467377,178.049118,-40.807133,178.946915,-637.796753,-6.034740,-542.489075
35,0.097222,,,,,,,1.553879,5.369768,-0.635035,-675.709106,856.686829,-382.721375,3.163029,-2.395385,2.714774,-683.125366,662.551025,-484.892639,-6.114150,-26.576967,-1.511763,-648.542175,439.532867,-439.340210,-179.328354,-47.269852,-168.248016,-657.205811,236.513046,-367.219696,178.812866,-42.008369,-177.523895,-718.413574,61.305000,-407.496368,178.049103,-40.807186,178.941071,-637.801025,-6.041095,-542.495483
