Format Version,1.23,Take Name,Tam,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-06 07.38.10.424 P. M.,Total Frames in Take,7399,Total Exported Frames,7399,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,Cadera,Cadera,Cadera,Cadera,Cadera,Cadera,Muslo,Muslo,Muslo,Muslo,Muslo,Muslo,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Pie,Pie,Pie,Pie,Pie,Pie
,ID,"8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,3.751487,2.892518,2.759589,-741.428772,862.326416,-428.390839,4.188855,-0.603531,4.744198,-737.581360,667.203064,-533.945923,-8.482394,-24.469215,0.407302,-695.845581,443.844330,-487.460663,174.590881,-50.014153,-168.363113,-702.933411,242.327927,-401.321198,176.240814,-44.408630,-177.194153,-767.812988,62.956303,-421.321045,178.387939,-43.430252,178.851151,-695.807617,-5.895372,-558.843933
1,0.002778,,,,,,,3.556319,2.853378,2.863105,-741.500916,862.454651,-428.479614,4.185740,-0.600233,4.745473,-737.578796,667.199829,-533.931763,-8.513328,-24.452703,0.379633,-695.802490,443.844208,-487.476105,174.604767,-50.002220,-168.357620,-702.936462,242.327942,-401.310913,176.245026,-44.406731,-177.181244,-767.810791,62.950550,-421.316833,178.367081,-43.433445,178.848251,-695.802429,-5.897276,-558.843445
2,0.005556,,,,,,,3.776614,2.856084,2.707848,-741.551636,862.373535,-428.459808,4.181405,-0.617562,4.753598,-737.576111,667.191650,-533.934448,-8.482954,-24.476698,0.406913,-695.841675,443.854645,-487.438446,174.619354,-49.985676,-168.345245,-702.930054,242.333725,-401.304108,176.255814,-44.397938,-177.177719,-767.804321,62.955292,-421.324738,178.457367,-43.384369,178.871490,-695.814636,-5.929424,-558.863220
3,0.008333,,,,,,,3.753644,2.876979,2.753247,-741.438416,862.321960,-428.383392,4.181421,-0.623707,4.747293,-737.574585,667.198547,-533.930298,-8.521019,-24.460434,0.371535,-695.807373,443.845459,-487.446564,174.620193,-49.994335,-168.347488,-702.921936,242.331482,-401.298218,176.250504,-44.393860,-177.189697,-767.796753,62.953747,-421.323792,178.388992,-43.426617,178.854340,-695.811279,-5.895831,-558.849365
4,0.011111,,,,,,,3.563000,2.848775,2.869641,-741.513245,862.461060,-428.504486,4.152629,-0.638108,4.760981,-737.565369,667.186768,-533.922913,-8.524985,-24.461372,0.372302,-695.802979,443.846222,-487.436768,174.575653,-50.012993,-168.399216,-702.937134,242.328232,-401.293579,176.252716,-44.400639,-177.197357,-767.799927,62.954136,-421.323456,178.384567,-43.428646,178.854126,-695.809937,-5.894808,-558.850403
5,0.013889,,,,,,,3.780555,2.846513,2.710134,-741.572510,862.379211,-428.480164,4.162085,-0.648062,4.788058,-737.558411,667.211243,-533.921631,-8.446743,-24.589815,0.317989,-695.922180,443.785400,-487.348114,174.630325,-49.966629,-168.342194,-702.919800,242.335693,-401.285156,176.248886,-44.398712,-177.192383,-767.798218,62.947735,-421.325653,178.469482,-43.381569,178.878265,-695.812866,-5.935855,-558.862732
6,0.016667,,,,,,,3.575124,2.809649,2.837931,-741.645569,862.493652,-428.569885,4.171132,-0.648752,4.726421,-737.576111,667.169067,-533.920654,-8.438151,-24.601940,0.323330,-695.928284,443.784790,-487.333588,174.988632,-49.748802,-167.966476,-703.208923,242.209198,-401.217407,176.256760,-44.396156,-177.201462,-767.794495,62.956913,-421.324402,178.489288,-43.386013,178.884491,-695.820435,-5.923744,-558.869263
7,0.019444,,,,,,,3.571948,2.800424,2.835843,-741.645874,862.488770,-428.560150,4.161889,-0.671411,4.783708,-737.554504,667.205505,-533.916260,-8.525663,-24.477098,0.371208,-695.817200,443.849731,-487.396912,175.016678,-49.736965,-167.953674,-703.206909,242.217514,-401.205261,176.265869,-44.386215,-177.192184,-767.793579,62.957539,-421.328461,178.394379,-43.418762,178.857849,-695.812195,-5.893353,-558.854248
8,0.022222,,,,,,,3.777514,2.821721,2.708299,-741.601929,862.376343,-428.478485,4.155923,-0.680458,4.786935,-737.548584,667.203430,-533.916138,-8.531862,-24.481466,0.374539,-695.809326,443.852478,-487.388428,175.042328,-49.715069,-167.925781,-703.212402,242.219742,-401.196167,176.261734,-44.395649,-177.183456,-767.799744,62.943356,-421.320496,178.372650,-43.429871,178.851898,-695.799805,-5.897669,-558.850769
9,0.025000,,,,,,,3.774162,2.815468,2.713974,-741.604553,862.372070,-428.484100,4.159451,-0.682015,4.763989,-737.550293,667.188354,-533.912231,-8.444198,-24.619734,0.320801,-695.911865,443.785339,-487.297821,174.657959,-49.963120,-168.318451,-702.929260,242.334335,-401.244812,176.265839,-44.393597,-177.188095,-767.801331,62.949619,-421.321167,178.467438,-43.386200,178.879959,-695.808105,-5.925545,-558.864441
10,0.027778,,,,,,,3.775281,2.808181,2.711609,-741.607849,862.369202,-428.486786,4.169247,-0.695839,4.784945,-737.532288,667.199707,-533.911743,-8.449541,-24.620356,0.322726,-695.909302,443.787445,-487.286316,175.058044,-49.700470,-167.923798,-703.212219,242.226303,-401.175659,176.264191,-44.388481,-177.176865,-767.800659,62.938751,-421.316284,178.391510,-43.421631,178.857773,-695.809082,-5.892457,-558.849304
11,0.030556,,,,,,,3.769909,2.790779,2.713451,-741.632690,862.371094,-428.490570,4.152572,-0.709418,4.742786,-737.536926,667.159058,-533.902283,-8.451841,-24.626919,0.323356,-695.906799,443.783600,-487.273560,175.033127,-49.715122,-167.945175,-703.216187,242.221039,-401.172272,176.259521,-44.381031,-177.192673,-767.797974,62.936440,-421.317780,178.463043,-43.366791,178.871552,-695.819641,-5.924200,-558.866333
12,0.033333,,,,,,,3.766699,2.771327,2.717135,-741.651489,862.367004,-428.491547,4.158817,-0.723365,4.787710,-737.511414,667.189758,-533.900879,-8.448633,-24.637035,0.324607,-695.903564,443.787048,-487.257233,175.022049,-49.705070,-167.964188,-703.210022,242.228226,-401.157990,176.265121,-44.353764,-177.159653,-767.785828,62.917679,-421.305542,178.465225,-43.380882,178.872696,-695.815186,-5.929625,-558.866211
13,0.036111,,,,,,,3.761868,2.768239,2.714301,-741.676270,862.357239,-428.483856,4.156079,-0.735673,4.764678,-737.518188,667.170227,-533.894653,-8.449511,-24.642048,0.325706,-695.901062,443.785980,-487.246338,174.629333,-49.957699,-168.353119,-702.948914,242.331329,-401.215729,176.270096,-44.366756,-177.188385,-767.796936,62.939777,-421.317780,178.373154,-43.420910,178.849594,-695.800659,-5.902159,-558.847290
14,0.038889,,,,,,,3.764251,2.760434,2.714214,-741.680176,862.351624,-428.491180,4.161472,-0.755807,4.784687,-737.496948,667.181824,-533.888977,-8.452232,-24.649477,0.324544,-695.901611,443.788971,-487.231293,174.606857,-49.898266,-168.480286,-702.909363,242.329056,-401.234741,176.263596,-44.367352,-177.189926,-767.803101,62.934296,-421.317963,178.483078,-43.384624,178.879929,-695.816711,-5.927180,-558.866211
15,0.041667,,,,,,,3.763760,2.750314,2.729027,-741.660400,862.354065,-428.501953,4.154412,-0.775156,4.788844,-737.487000,667.176331,-533.886047,-8.442660,-24.660122,0.334378,-695.895264,443.791046,-487.220886,174.678986,-49.915802,-168.324356,-702.956482,242.327240,-401.193176,176.264145,-44.362270,-177.199875,-767.803772,62.931911,-421.314331,178.390808,-43.423866,178.849701,-695.809875,-5.900206,-558.851868
16,0.044444,,,,,,,3.750448,2.765100,2.741772,-741.609009,862.307617,-428.420074,4.151289,-0.784741,4.767373,-737.490784,667.156128,-533.880615,-8.456505,-24.660915,0.330113,-695.890320,443.787933,-487.208252,175.016830,-49.680466,-167.968353,-703.219421,242.211334,-401.125092,176.273178,-44.361408,-177.196136,-767.801819,62.924644,-421.321991,178.359802,-43.434425,178.836746,-695.789917,-5.912697,-558.853271
17,0.047222,,,,,,,3.751554,2.755388,2.741143,-741.618774,862.304688,-428.423218,4.149978,-0.794511,4.771259,-737.480164,667.151306,-533.879822,-8.461913,-24.675335,0.326030,-695.894470,443.780579,-487.188873,175.004913,-49.688774,-167.985580,-703.227844,242.214539,-401.113739,176.267227,-44.324200,-177.183258,-767.786133,62.915497,-421.321472,178.359161,-43.427155,178.838943,-695.793091,-5.913809,-558.850952
18,0.050000,,,,,,,3.749414,2.748321,2.741612,-741.624329,862.300537,-428.428619,4.161987,-0.780403,4.785306,-737.457214,667.133118,-533.873352,-8.455227,-24.679733,0.329036,-695.888550,443.781464,-487.180939,175.081451,-49.642574,-167.925461,-703.231567,242.209717,-401.104614,176.278458,-44.316044,-177.172012,-767.783569,62.915920,-421.326050,178.453568,-43.385479,178.862595,-695.804504,-5.945415,-558.874268
19,0.052778,,,,,,,3.750034,2.741776,2.742562,-741.632385,862.299133,-428.428955,4.164706,-0.798572,4.811452,-737.439880,667.139709,-533.867310,-8.470836,-24.686281,0.318346,-695.884949,443.777863,-487.164703,175.045074,-49.657745,-167.953415,-703.236572,242.207108,-401.091736,176.266998,-44.331799,-177.208908,-767.799866,62.926800,-421.332550,178.365601,-43.428799,178.838089,-695.791199,-5.911942,-558.856079
20,0.055556,,,,,,,3.750313,2.735434,2.746281,-741.638000,862.286438,-428.421661,4.149734,-0.817627,4.793566,-737.436829,667.114624,-533.860474,-8.472634,-24.692089,0.323880,-695.880798,443.779266,-487.144653,174.707321,-49.865807,-168.309052,-702.968506,242.306824,-401.144775,176.280960,-44.305561,-177.182358,-767.786011,62.916054,-421.327179,178.361984,-43.434422,178.830399,-695.778809,-5.919056,-558.852173
21,0.058333,,,,,,,3.750937,2.724695,2.742311,-741.641296,862.288269,-428.428680,4.156565,-0.829417,4.823156,-737.419006,667.131226,-533.854614,-8.466220,-24.702370,0.322935,-695.880615,443.775024,-487.122040,174.670609,-49.837070,-168.413055,-702.942749,242.300674,-401.154480,176.290848,-44.300529,-177.178329,-767.778137,62.910156,-421.332642,178.387955,-43.434067,178.842438,-695.793701,-5.909195,-558.858337
22,0.061111,,,,,,,3.536537,2.622290,2.847461,-741.839233,862.422363,-428.507172,4.144515,-0.846153,4.826591,-737.408386,667.122253,-533.845276,-8.479154,-24.710625,0.314098,-695.884033,443.767975,-487.096100,175.011032,-49.655571,-167.998489,-703.234192,242.198364,-401.044220,176.273392,-44.316662,-177.210709,-767.801331,62.919998,-421.334839,178.453323,-43.381310,178.856598,-695.806091,-5.948302,-558.866699
23,0.063889,,,,,,,3.517288,2.605868,2.901418,-741.825195,862.372803,-428.552887,4.133475,-0.866859,4.829790,-737.396606,667.116150,-533.836121,-8.474836,-24.718460,0.315951,-695.886536,443.763672,-487.065674,174.781845,-49.809578,-168.245026,-702.984802,242.304276,-401.090881,176.293076,-44.289619,-177.173874,-767.791504,62.896446,-421.333374,178.357742,-43.420013,178.826279,-695.799500,-5.914810,-558.853394
24,0.066667,,,,,,,3.739412,2.681920,2.785686,-741.679504,862.249939,-428.504303,4.123526,-0.884902,4.813199,-737.393250,667.082214,-533.820313,-8.476472,-24.726114,0.319935,-695.893250,443.762878,-487.033051,175.049637,-49.599350,-167.980438,-703.261108,242.198944,-401.014099,176.288483,-44.282120,-177.160706,-767.805359,62.883511,-421.332001,178.478210,-43.377003,178.860321,-695.818176,-5.941178,-558.870972
25,0.069444,,,,,,,3.513684,2.589743,2.919893,-741.780273,862.353760,-428.563904,4.127848,-0.895884,4.810202,-737.385254,667.080322,-533.812744,-8.477118,-24.737749,0.317199,-695.891968,443.762970,-487.003601,175.072556,-49.592083,-167.963699,-703.272461,242.205017,-400.993103,176.291718,-44.261108,-177.160126,-767.795471,62.882156,-421.338989,178.466965,-43.374187,178.854034,-695.824646,-5.939749,-558.870972
26,0.072222,,,,,,,3.455935,2.596979,2.952177,-741.822449,862.381592,-428.562561,4.108957,-0.915341,4.787320,-737.377869,667.049866,-533.795593,-8.490698,-24.737230,0.315602,-695.892090,443.767731,-486.974335,175.052826,-49.585575,-167.983826,-703.259827,242.195923,-400.974487,176.286392,-44.256935,-177.185608,-767.805969,62.879860,-421.340118,178.446655,-43.371647,178.842056,-695.818542,-5.954706,-558.872009
27,0.075000,,,,,,,3.514954,2.572359,2.918790,-741.788208,862.337891,-428.569122,4.105133,-0.928837,4.793036,-737.367493,667.044800,-533.783691,-8.487606,-24.753185,0.317903,-695.903687,443.762299,-486.933716,175.106491,-49.511082,-168.001038,-703.240540,242.190369,-400.975891,176.283524,-44.248608,-177.205383,-767.808716,62.884182,-421.347229,178.331207,-43.419777,178.803253,-695.807190,-5.925409,-558.853271
28,0.077778,,,,,,,3.732601,2.645413,2.805923,-741.645569,862.221680,-428.527832,4.096679,-0.951878,4.813710,-737.349182,667.051941,-533.766907,-8.494825,-24.761791,0.309796,-695.905212,443.761292,-486.901215,175.032791,-49.536629,-168.084488,-703.253967,242.197205,-400.946960,176.286362,-44.237652,-177.206238,-767.821594,62.877850,-421.350006,178.453552,-43.375401,178.837021,-695.823608,-5.953490,-558.869141
29,0.080556,,,,,,,3.729425,2.634483,2.807318,-741.653625,862.216858,-428.528320,4.083793,-0.970000,4.812668,-737.340332,667.046448,-533.748596,-8.493621,-24.773256,0.310354,-695.916992,443.764130,-486.856445,175.098999,-49.529060,-167.972092,-703.297729,242.199951,-400.891510,176.317703,-44.221104,-177.177917,-767.839600,62.885628,-421.359222,178.331085,-43.415188,178.796646,-695.811340,-5.931708,-558.854248
30,0.083333,,,,,,,3.512680,2.542325,2.922868,-741.796387,862.323608,-428.579803,4.078596,-0.983941,4.834208,-737.319580,667.059082,-533.720581,-8.500727,-24.778856,0.308835,-695.923218,443.763428,-486.812958,175.046112,-49.517231,-168.079727,-703.281433,242.179306,-400.897827,176.321228,-44.216717,-177.174652,-767.853210,62.880100,-421.361847,178.320160,-43.411354,178.788620,-695.816528,-5.936168,-558.860840
31,0.086111,,,,,,,3.713960,2.615389,2.836740,-741.594482,862.177063,-428.536682,4.064295,-1.001041,4.838094,-737.308716,667.058716,-533.703186,-8.498113,-24.794436,0.308434,-695.941162,443.759460,-486.759827,175.150558,-49.483814,-167.946838,-703.351318,242.193237,-400.841400,176.309738,-44.193268,-177.185852,-767.848572,62.878845,-421.369507,178.418274,-43.369865,178.819580,-695.827148,-5.961356,-558.878113
32,0.088889,,,,,,,3.501783,2.525511,2.942925,-741.742920,862.288818,-428.581879,4.038191,-1.022088,4.836707,-737.302673,667.050964,-533.672424,-8.499822,-24.810286,0.301530,-695.944946,443.766907,-486.706970,175.160431,-49.470894,-167.956589,-703.340759,242.207977,-400.810364,176.327362,-44.194695,-177.234192,-767.880798,62.885040,-421.379791,178.411682,-43.354355,178.813919,-695.829346,-5.962608,-558.881958
33,0.091667,,,,,,,3.456737,2.526667,2.956977,-741.793213,862.333740,-428.572662,4.017307,-1.025699,4.819083,-737.296814,667.023315,-533.648865,-8.512063,-24.828274,0.301108,-695.952759,443.767731,-486.631073,175.204346,-49.431442,-167.918915,-703.359192,242.199036,-400.779419,176.336472,-44.166557,-177.211456,-767.868347,62.871056,-421.379333,178.414459,-43.358376,178.808884,-695.826965,-5.967610,-558.882202
34,0.094444,,,,,,,3.455441,2.510257,2.957755,-741.803589,862.333496,-428.576172,4.009458,-1.046564,4.838039,-737.279175,667.036804,-533.619446,-8.516598,-24.838270,0.294903,-695.967529,443.767914,-486.569733,175.241318,-49.393967,-167.902191,-703.356140,242.207001,-400.735657,176.340317,-44.168346,-177.200180,-767.892761,62.853836,-421.371277,178.313370,-43.399807,178.774841,-695.815063,-5.940398,-558.864990
35,0.097222,,,,,,,3.509845,2.489477,2.933653,-741.745667,862.283752,-428.593536,4.000222,-1.053940,4.815280,-737.280090,667.009277,-533.586975,-8.517494,-24.854452,0.290667,-695.984802,443.776642,-486.500702,175.199966,-49.398815,-167.934998,-703.373108,242.203857,-400.690247,176.324615,-44.162697,-177.232941,-767.892822,62.845543,-421.371399,178.433868,-43.357307,178.811478,-695.838928,-5.966948,-558.889771
36,0.100000,,,,,,,3.497911,2.483426,2.937100,-741.741272,862.277344,-428.574799,3.994064,-1.064336,4.810233,-737.266418,667.003052,-533.559387,-8.520288,-24.869509,0.284725,-696.003174,443.776825,-486.429810,175.152054,-49.374043,-168.018295,-703.415771,242.194550,-400.644684,176.330078,-44.149536,-177.230103,-767.910156,62.837757,-421.368256,178.304062,-43.400242,178.764740,-695.818420,-5.948783,-558.862610
