Format Version,1.23,Take Name,kankan2,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-06 07.45.58.719 P. M.,Total Frames in Take,7373,Total Exported Frames,7373,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,Cadera,Cadera,Cadera,Cadera,Cadera,Cadera,Muslo,Muslo,Muslo,Muslo,Muslo,Muslo,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Pie,Pie,Pie,Pie,Pie,Pie
,ID,"8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,5.302374,-1.111497,1.156787,-766.530762,863.720154,-250.146988,2.905558,-4.419968,1.595426,-772.170288,670.804932,-352.162567,-8.370895,-23.417349,-3.010177,-746.165894,446.061981,-304.102875,-177.125351,-51.397633,-165.236526,-756.437927,241.495789,-233.389648,177.494614,-45.338951,-177.606812,-824.146057,63.518604,-271.605164,179.200470,-43.226685,179.262390,-752.518921,-5.767871,-410.804993
1,0.002778,,,,,,,5.043471,-1.058637,1.106629,-766.501953,863.796509,-249.868988,2.960224,-4.463150,1.656399,-772.179382,670.831848,-352.147583,-8.383858,-23.433193,-3.016065,-746.163574,446.064453,-304.109406,-177.122330,-51.383835,-165.223557,-756.452332,241.494049,-233.399567,177.508301,-45.322796,-177.584015,-824.153137,63.518696,-271.602631,179.178940,-43.247414,179.243469,-752.549194,-5.737871,-410.828247
2,0.005556,,,,,,,5.023627,-1.102082,1.101671,-766.562439,863.876709,-249.939026,2.913625,-4.487016,1.589168,-772.116821,670.802612,-352.182831,-8.383101,-23.453167,-3.015211,-746.152771,446.065613,-304.121399,-177.115829,-51.363995,-165.216736,-756.456238,241.497086,-233.408691,177.489944,-45.330185,-177.601471,-824.147339,63.530334,-271.611664,179.189270,-43.241180,179.247818,-752.525635,-5.752755,-410.809052
3,0.008333,,,,,,,5.008986,-1.144974,1.087265,-766.578796,863.894043,-249.975143,2.906908,-4.517852,1.577618,-772.095825,670.797607,-352.189941,-8.387695,-23.471588,-3.026407,-746.145569,446.066956,-304.120636,-177.119217,-51.346233,-165.224716,-756.476624,241.495071,-233.404449,177.456802,-45.321957,-177.613846,-824.133789,63.528122,-271.610962,179.192642,-43.232735,179.253799,-752.524048,-5.746662,-410.807007
4,0.011111,,,,,,,5.205762,-1.331468,1.171847,-766.772644,863.827698,-250.388474,2.908505,-4.557349,1.573807,-772.070557,670.781616,-352.206055,-8.384639,-23.490723,-3.021264,-746.140076,446.070526,-304.119446,-177.132263,-51.357449,-165.232681,-756.471375,241.505661,-233.403809,177.463806,-45.314915,-177.613266,-824.131104,63.534328,-271.613647,179.187759,-43.250225,179.259079,-752.535400,-5.733673,-410.821686
5,0.013889,,,,,,,4.981284,-1.217494,1.083930,-766.602722,863.914429,-250.069260,2.928423,-4.599016,1.561086,-772.052063,670.777527,-352.206696,-8.402361,-23.499046,-3.031908,-746.134644,446.074127,-304.111847,-177.146713,-51.342838,-165.242218,-756.484863,241.506805,-233.397278,177.476746,-45.305511,-177.595215,-824.147644,63.520439,-271.605194,179.186798,-43.252251,179.257843,-752.527161,-5.734249,-410.820862
6,0.016667,,,,,,,5.169578,-1.394541,1.157763,-766.807190,863.847473,-250.458923,2.922488,-4.635439,1.555659,-772.035950,670.767090,-352.205902,-8.401937,-23.514044,-3.018284,-746.135681,446.078369,-304.093079,-177.148911,-51.335987,-165.247208,-756.494324,241.511688,-233.384796,177.477402,-45.301147,-177.591461,-824.139404,63.528633,-271.608429,179.192749,-43.250248,179.260284,-752.529785,-5.732919,-410.821136
7,0.019444,,,,,,,4.955504,-1.284337,1.072773,-766.635864,863.931946,-250.147217,2.911717,-4.657139,1.559526,-772.019043,670.756714,-352.207397,-8.398005,-23.534918,-3.025341,-746.142700,446.077911,-304.074371,-177.215698,-51.359989,-165.301117,-756.501526,241.513657,-233.363464,177.471786,-45.300282,-177.593536,-824.144653,63.528233,-271.609802,179.190643,-43.253384,179.258469,-752.529785,-5.732000,-410.816467
8,0.022222,,,,,,,4.945995,-1.318094,1.068578,-766.650208,863.943665,-250.183426,2.906337,-4.689397,1.566468,-772.007568,670.745972,-352.202728,-8.277339,-23.746845,-3.043402,-746.288330,445.990143,-303.977783,-177.206970,-51.331146,-165.291748,-756.508118,241.513977,-233.342499,177.473007,-45.301006,-177.596832,-824.143372,63.527851,-271.604858,179.196930,-43.240074,179.263397,-752.515381,-5.745002,-410.795105
9,0.025000,,,,,,,5.144439,-1.434148,1.156122,-766.780273,863.845947,-250.502197,2.898944,-4.719632,1.560321,-771.996826,670.737244,-352.194702,-8.292392,-23.756453,-3.050351,-746.295349,445.995544,-303.942993,-177.393906,-51.119331,-165.691589,-756.670166,241.444946,-233.267639,177.472519,-45.299786,-177.597260,-824.138184,63.531475,-271.607269,179.207535,-43.233181,179.273163,-752.496277,-5.754450,-410.784546
10,0.027778,,,,,,,5.113964,-1.511150,1.146399,-766.879700,863.901611,-250.595032,2.884979,-4.742787,1.566299,-771.993347,670.728943,-352.190887,-8.285124,-23.777668,-3.043947,-746.314148,445.994720,-303.907410,-177.224075,-51.297924,-165.311249,-756.559143,241.515808,-233.282166,177.477448,-45.297096,-177.604202,-824.147400,63.530720,-271.604248,179.206665,-43.236149,179.272125,-752.497803,-5.758137,-410.781281
11,0.030556,,,,,,,5.091936,-1.517264,1.149847,-766.871399,863.918335,-250.611847,2.885251,-4.778090,1.553108,-771.972473,670.709900,-352.171173,-8.287757,-23.789021,-3.036515,-746.322327,445.997711,-303.864288,-177.269196,-51.320923,-165.354813,-756.562561,241.526962,-233.250977,177.488174,-45.287643,-177.577911,-824.149719,63.527958,-271.597260,179.214447,-43.237381,179.273087,-752.507813,-5.740943,-410.781616
12,0.033333,,,,,,,5.077847,-1.537421,1.143262,-766.887695,863.924438,-250.646118,2.875394,-4.799105,1.556175,-771.971130,670.698425,-352.159119,-8.296550,-23.784031,-3.038005,-746.340454,445.995789,-303.792816,-177.263062,-51.310680,-165.364944,-756.578918,241.520218,-233.217545,177.609879,-45.205704,-177.283783,-824.187378,63.422756,-271.542572,179.218002,-43.230759,179.267746,-752.511292,-5.733320,-410.762482
13,0.036111,,,,,,,5.062501,-1.556846,1.132774,-766.898010,863.939148,-250.670258,2.866926,-4.828249,1.561992,-771.969116,670.687378,-352.140442,-8.320463,-23.797337,-3.044336,-746.357422,446.000183,-303.738922,-177.274261,-51.311462,-165.377029,-756.614441,241.523682,-233.182220,177.475983,-45.279003,-177.591537,-824.148987,63.525879,-271.583740,179.216187,-43.237518,179.280090,-752.505371,-5.738601,-410.773590
14,0.038889,,,,,,,4.847453,-1.512048,0.869168,-766.840942,863.937805,-250.368088,2.858742,-4.853911,1.551054,-771.960632,670.669128,-352.118011,-8.307870,-23.820135,-3.024967,-746.385437,446.000336,-303.685303,-177.243301,-51.305466,-165.350510,-756.635437,241.519272,-233.146332,177.479874,-45.274490,-177.591583,-824.154968,63.523529,-271.577393,179.219116,-43.237026,179.283630,-752.503723,-5.735342,-410.768921
15,0.041667,,,,,,,4.842302,-1.492670,0.911724,-766.757690,863.847107,-250.288574,2.829145,-4.874362,1.571934,-771.962524,670.664856,-352.089508,-8.339772,-23.822323,-3.051465,-746.401428,446.008759,-303.620941,-177.323135,-51.307587,-165.439224,-756.660034,241.531891,-233.105545,177.483566,-45.275101,-177.603943,-824.159668,63.520828,-271.566528,179.225510,-43.236839,179.289398,-752.501221,-5.731647,-410.761414
16,0.044444,,,,,,,4.838696,-1.550794,0.866778,-766.868958,863.935486,-250.430405,2.809491,-4.901438,1.567923,-771.963867,670.653564,-352.069885,-8.358268,-23.837500,-3.059404,-746.432495,446.008911,-303.557190,-177.337494,-51.312786,-165.450943,-756.691223,241.532257,-233.059418,177.486511,-45.269474,-177.602707,-824.163879,63.525787,-271.562439,179.225616,-43.237591,179.288193,-752.493591,-5.733721,-410.757965
17,0.047222,,,,,,,4.413069,-1.832137,1.110188,-767.520691,864.224426,-250.726944,2.802893,-4.919508,1.566777,-771.973816,670.642395,-352.048767,-8.361407,-23.858311,-3.051814,-746.468567,446.011475,-303.497284,-177.325790,-51.301510,-165.449280,-756.718018,241.533829,-233.019653,177.475586,-45.280327,-177.617889,-824.165039,63.527950,-271.556946,179.227356,-43.238125,179.289764,-752.497986,-5.727749,-410.760986
18,0.050000,,,,,,,4.816631,-1.588633,0.854657,-766.943542,863.961609,-250.483124,2.799786,-4.944957,1.567963,-771.990967,670.633545,-352.022980,-8.359452,-23.879984,-3.041179,-746.505188,446.015045,-303.429596,-177.362076,-51.306919,-165.496216,-756.735168,241.547821,-232.967041,177.476181,-45.277950,-177.623810,-824.165588,63.525959,-271.557709,179.224747,-43.240746,179.287430,-752.494080,-5.724045,-410.758881
19,0.052778,,,,,,,4.411683,-1.860044,1.097135,-767.565125,864.230957,-250.746246,2.777688,-4.964933,1.574696,-772.003662,670.618469,-351.998077,-8.324901,-23.901072,-2.988217,-746.503296,446.047729,-303.379669,-177.380157,-51.321419,-165.530579,-756.760193,241.548370,-232.931458,177.473679,-45.266918,-177.618683,-824.177246,63.520676,-271.550537,179.236954,-43.225445,179.285904,-752.483337,-5.729765,-410.733276
20,0.055556,,,,,,,4.400054,-1.855924,1.093642,-767.584412,864.228760,-250.724945,2.762384,-4.990345,1.573460,-772.016968,670.607788,-351.974945,-8.374907,-23.917156,-3.032645,-746.579956,446.025146,-303.286530,-177.347580,-51.284344,-165.509796,-756.820435,241.551590,-232.872650,177.470703,-45.278172,-177.631256,-824.177063,63.523346,-271.546417,179.236969,-43.240242,179.294998,-752.502258,-5.725174,-410.752594
21,0.058333,,,,,,,4.603286,-1.825789,1.114422,-767.419495,864.184021,-250.913712,2.753067,-5.012003,1.571930,-772.041992,670.594238,-351.945618,-8.374182,-23.927080,-2.996456,-746.633118,446.028870,-303.221741,-177.365189,-51.301792,-165.539429,-756.848511,241.551804,-232.826508,177.469360,-45.270397,-177.645142,-824.183289,63.520855,-271.547058,179.238113,-43.236115,179.292374,-752.499939,-5.720133,-410.752594
22,0.061111,,,,,,,4.600896,-1.843905,1.105765,-767.457397,864.197754,-250.930313,2.723711,-5.060067,1.578482,-772.076111,670.585022,-351.922211,-8.383039,-23.929232,-2.966490,-746.703064,446.011108,-303.139313,-177.374817,-51.287666,-165.555222,-756.898376,241.559906,-232.777466,177.452423,-45.275414,-177.654419,-824.185242,63.519829,-271.539581,179.242416,-43.227787,179.277557,-752.506592,-5.713577,-410.732056
23,0.063889,,,,,,,4.401415,-1.907794,1.057042,-767.690369,864.237305,-250.799652,2.709558,-5.078487,1.587735,-772.102295,670.585327,-351.893341,-8.427736,-23.959063,-3.033413,-746.773071,446.019714,-303.037262,-177.395584,-51.296459,-165.590240,-756.914612,241.570511,-232.726181,177.476822,-45.264137,-177.682602,-824.205261,63.505291,-271.541565,179.241760,-43.226036,179.281357,-752.505554,-5.709613,-410.730316
24,0.066667,,,,,,,4.309913,-1.777444,1.064368,-767.450562,864.024475,-250.346756,2.691213,-5.096711,1.584496,-772.124084,670.560181,-351.867432,-8.435596,-23.964405,-3.035337,-746.813477,446.027618,-302.964905,-177.432999,-51.316784,-165.635666,-756.947144,241.583298,-232.689117,177.459091,-45.264084,-177.695389,-824.201111,63.513382,-271.536438,179.254242,-43.219475,179.296799,-752.495178,-5.717905,-410.726532
25,0.069444,,,,,,,4.400888,-1.923602,1.053371,-767.764648,864.247437,-250.809372,2.662453,-5.121079,1.600059,-772.169312,670.552734,-351.829285,-8.424010,-23.995205,-3.021021,-746.885132,446.028290,-302.889740,-177.580978,-51.420071,-165.851685,-757.021362,241.657333,-232.654617,177.455856,-45.260830,-177.685562,-824.213074,63.502632,-271.523590,179.252136,-43.232819,179.300034,-752.500977,-5.714459,-410.738525
26,0.072222,,,,,,,4.178364,-1.857122,1.093478,-767.699036,864.147705,-250.299103,2.668430,-5.129969,1.592702,-772.196777,670.538208,-351.802551,-8.519769,-23.925821,-3.009092,-746.894531,446.084717,-302.843719,-177.562485,-51.402832,-165.841721,-757.072693,241.650024,-232.599213,177.465042,-45.263584,-177.708420,-824.203552,63.505753,-271.518768,179.244675,-43.234592,179.280167,-752.500610,-5.702199,-410.721161
27,0.075000,,,,,,,1.565450,-2.167920,1.619570,-768.771362,866.637817,-250.476364,2.628697,-5.147826,1.603973,-772.245544,670.536377,-351.762054,-8.526927,-23.940582,-3.000304,-746.951111,446.096527,-302.769348,-177.680008,-51.493011,-165.965973,-757.163452,241.646042,-232.554733,177.455551,-45.252625,-177.700928,-824.217712,63.514328,-271.515656,179.259567,-43.225746,179.287033,-752.498352,-5.698600,-410.714966
28,0.077778,,,,,,,4.592553,-1.883443,1.073711,-767.678162,864.217041,-250.947510,2.612856,-5.173517,1.612949,-772.276550,670.540466,-351.731110,-8.516067,-23.953316,-2.957025,-747.029541,446.074921,-302.695251,-177.761414,-51.146034,-166.324112,-757.369202,241.501556,-232.380569,177.454224,-45.254704,-177.716843,-824.217773,63.510693,-271.508972,179.252472,-43.230515,179.283997,-752.494629,-5.694786,-410.713684
29,0.080556,,,,,,,4.577003,-1.883276,1.081654,-767.741394,864.243103,-250.949112,2.593230,-5.185785,1.612371,-772.322510,670.531128,-351.694885,-8.524719,-23.968452,-2.953997,-747.094116,446.077606,-302.623138,-177.849319,-51.128876,-166.505875,-757.490662,241.517380,-232.267349,177.467865,-45.261856,-177.730606,-824.231201,63.515789,-271.499695,179.255692,-43.228470,179.285934,-752.498352,-5.691901,-410.714355
30,0.083333,,,,,,,4.570746,-1.892620,1.067603,-767.783325,864.224976,-250.941483,2.590352,-5.198505,1.612436,-772.381409,670.512939,-351.646790,-8.524339,-23.966148,-2.929109,-747.174255,446.087067,-302.551849,-177.870621,-51.103287,-166.561890,-757.531494,241.522202,-232.219833,177.478027,-45.253132,-177.741394,-824.245483,63.499832,-271.491272,179.254837,-43.224339,179.285156,-752.498840,-5.691499,-410.712128
31,0.086111,,,,,,,4.394998,-1.936946,1.032895,-768.023865,864.260742,-250.802429,2.560492,-5.206656,1.620992,-772.447632,670.493896,-351.611603,-8.527826,-23.982849,-2.923099,-747.236816,446.093079,-302.482941,-177.892273,-51.097321,-166.581268,-757.565857,241.529861,-232.180298,177.616165,-45.023258,-177.405212,-824.458801,63.323738,-271.336609,179.252319,-43.224495,179.284454,-752.502136,-5.691710,-410.707214
32,0.088889,,,,,,,4.569569,-1.886177,1.069849,-767.891357,864.246033,-250.936325,2.545654,-5.205771,1.621698,-772.506714,670.489014,-351.574951,-8.514525,-24.001337,-2.913688,-747.308289,446.099030,-302.421967,-177.874146,-51.074856,-166.575806,-757.621033,241.538513,-232.139786,177.446716,-45.251854,-177.745956,-824.257446,63.502773,-271.487549,179.256943,-43.222572,179.287369,-752.504089,-5.692593,-410.708801
33,0.091667,,,,,,,4.570447,-1.886828,1.071310,-767.940247,864.247986,-250.929779,2.540622,-5.230484,1.621542,-772.568604,670.484436,-351.546021,-8.509677,-24.016685,-2.907045,-747.376343,446.105774,-302.352783,-177.741379,-51.261940,-166.151276,-757.485840,241.657471,-232.185974,177.623596,-45.025078,-177.436630,-824.479553,63.327553,-271.321350,179.260254,-43.223171,179.282440,-752.509583,-5.689898,-410.706512
34,0.094444,,,,,,,4.575438,-1.899149,1.084553,-768.033264,864.290161,-250.940079,2.523759,-5.223385,1.623351,-772.639221,670.481140,-351.511200,-8.510817,-24.036758,-2.905527,-747.453247,446.103210,-302.289154,-177.867722,-51.053139,-166.592560,-757.700928,241.553391,-232.057068,177.455673,-45.255100,-177.773376,-824.292053,63.491093,-271.476929,179.259094,-43.223118,179.286423,-752.516724,-5.689416,-410.707550
35,0.097222,,,,,,,4.572791,-1.897288,1.083872,-768.092590,864.293152,-250.933105,2.517756,-5.223672,1.594860,-772.731873,670.476807,-351.476318,-8.517261,-24.043701,-2.895106,-747.517456,446.116760,-302.235840,-177.897934,-51.025246,-166.532501,-757.727112,241.588776,-232.052292,177.455963,-45.256912,-177.769592,-824.294983,63.495323,-271.478363,179.256516,-43.219616,179.282562,-752.517029,-5.687780,-410.707397
