Format Version,1.23,Take Name,salsalateral,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2023-06-06 07.48.06.431 P. M.,Total Frames in Take,7380,Total Exported Frames,7380,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,cuerpo,Cadera,Cadera,Cadera,Cadera,Cadera,Cadera,Muslo,Muslo,Muslo,Muslo,Muslo,Muslo,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Rodilla,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Chamorro,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Tobillo,Pie,Pie,Pie,Pie,Pie,Pie
,ID,"8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","8AB23843018111EEC44687742FF09CB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","7331A5EF04CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","B8C6D0F504CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","CD13924D04CA11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","11357AA304CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","2E474B2D04CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5","38200B8904CB11EEC44687742FF09DB5"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,5.144673,-7.454805,-1.176195,-851.254822,859.614685,-324.751373,-0.187092,-8.735790,2.348593,-846.780151,665.634949,-411.076813,-12.660012,-28.528633,-2.401214,-824.407166,445.756561,-342.494873,175.061157,-48.297005,-169.870087,-829.370544,248.003555,-258.110992,171.837097,-41.488564,179.468567,-887.013916,64.302650,-281.745667,177.815689,-41.697517,177.901520,-801.257629,-5.723960,-413.211182
1,0.002778,,,,,,,5.155580,-7.545989,-1.184816,-851.039917,859.542053,-325.031158,-0.429572,-8.668498,2.452275,-846.518372,665.540405,-411.324158,-12.686564,-28.596096,-2.418313,-824.279846,445.691040,-342.420654,175.077759,-48.295681,-169.865448,-829.322205,247.956253,-258.053009,171.886826,-41.491379,179.536194,-886.955994,64.263924,-281.689606,177.824402,-41.348568,177.894608,-801.039246,-5.681716,-412.736053
2,0.005556,,,,,,,5.252235,-7.601585,-1.251642,-850.821838,859.380066,-325.269409,-0.458773,-8.761762,2.446893,-846.233398,665.445618,-411.429993,-12.737281,-28.651827,-2.449904,-824.143555,445.622162,-342.352783,175.086700,-48.340099,-169.853241,-829.239929,247.898743,-257.994690,171.935806,-41.508106,179.540253,-886.878845,64.215134,-281.636047,177.831161,-41.345478,177.950668,-801.009949,-5.715529,-412.713623
3,0.008333,,,,,,,5.255570,-7.709325,-1.201001,-850.588257,859.376709,-325.482513,-0.501626,-8.685355,2.402429,-845.909729,665.346558,-411.477264,-12.751056,-28.727352,-2.490282,-824.018738,445.533722,-342.273682,175.115982,-48.294685,-169.845749,-829.210144,247.833084,-257.927124,171.330765,-41.638981,179.955338,-886.796082,64.457458,-281.737000,177.836609,-41.332348,177.987930,-800.987854,-5.733335,-412.684357
4,0.011111,,,,,,,5.240069,-7.775642,-0.935421,-850.279663,859.601013,-325.710388,-0.331283,-8.989305,2.241486,-845.546204,665.244629,-411.463867,-12.760181,-28.795900,-2.516362,-823.880127,445.474060,-342.219666,175.160599,-48.260918,-169.806808,-829.156860,247.779770,-257.876953,171.923508,-41.555641,179.575012,-886.749451,64.215958,-281.598663,177.848831,-41.325562,178.007385,-800.960022,-5.753335,-412.670013
5,0.013889,,,,,,,5.256153,-7.895287,-0.805805,-850.054443,859.614136,-325.887787,-0.421633,-9.110672,2.248875,-845.199036,665.132996,-411.534668,-12.803167,-28.847988,-2.550792,-823.752380,445.406860,-342.165527,175.112183,-48.227455,-169.910126,-829.061768,247.752533,-257.868408,172.403671,-41.756664,178.927887,-886.581116,63.957943,-281.421753,177.916077,-41.810650,178.094360,-801.131165,-5.850943,-413.221069
6,0.016667,,,,,,,5.264249,-7.970146,-0.524385,-849.828430,859.786438,-326.062714,-0.442972,-9.155744,2.254372,-844.864685,665.045593,-411.598358,-12.865537,-28.885481,-2.589362,-823.622620,445.340088,-342.120361,175.128494,-48.201317,-169.889389,-829.011047,247.717773,-257.822021,172.235596,-41.948505,178.702850,-886.554199,64.033661,-281.586090,177.921234,-41.815086,178.130554,-801.108093,-5.871915,-413.217010
7,0.019444,,,,,,,5.282958,-8.061088,-0.480475,-849.601990,859.711243,-326.225281,-0.529491,-9.177064,2.280015,-844.564026,664.953552,-411.750671,-12.910844,-28.929243,-2.635153,-823.478149,445.283661,-342.071808,173.654633,-49.209805,-171.292114,-829.459717,247.356995,-257.537567,171.811874,-41.830914,179.492706,-886.591980,64.269005,-281.764008,177.921707,-41.816830,178.201874,-801.092590,-5.905449,-413.208130
8,0.022222,,,,,,,5.287523,-8.158903,-0.339359,-849.419983,859.722656,-326.367096,-0.787784,-9.120120,2.282631,-844.197388,664.828796,-411.917328,-12.969038,-28.978653,-2.686325,-823.327576,445.227234,-342.020111,173.664673,-49.157715,-171.264557,-829.434204,247.368546,-257.495758,171.305984,-42.030701,179.888885,-886.443176,64.512253,-281.878876,177.931702,-41.824154,178.221436,-801.080078,-5.925645,-413.205475
9,0.025000,,,,,,,5.284772,-8.260994,-0.244338,-849.238708,859.668030,-326.531036,-0.820902,-9.272681,2.255790,-843.794067,664.764282,-411.993683,-13.040504,-29.028505,-2.750246,-823.165405,445.169922,-341.969391,175.234528,-48.126362,-169.799377,-828.817566,247.621384,-257.697601,171.839905,-41.826790,179.513565,-886.528625,64.300346,-281.764862,177.943329,-41.818489,178.277664,-801.059814,-5.948300,-413.205444
10,0.027778,,,,,,,5.286584,-8.361954,-0.173915,-848.995605,859.591492,-326.732788,-0.883309,-9.441043,2.290878,-843.377258,664.672668,-412.031342,-13.058940,-29.105806,-2.791395,-822.943420,445.105652,-341.918610,175.268707,-48.071461,-169.762360,-828.753906,247.615784,-257.655029,172.254395,-41.925438,178.772964,-886.429688,64.083893,-281.599457,177.945190,-41.833015,178.293594,-801.046997,-5.956814,-413.206268
11,0.030556,,,,,,,5.290271,-8.490573,0.171807,-848.790955,859.779724,-326.852020,-0.913405,-9.585787,2.292924,-843.029175,664.614929,-412.067871,-13.025606,-29.215889,-2.721748,-822.670715,445.101410,-341.752594,175.316711,-48.003197,-169.719376,-828.683350,247.618591,-257.604919,171.827499,-41.828815,179.558975,-886.462708,64.340363,-281.795227,177.975906,-41.377186,178.266068,-800.776978,-5.863814,-412.684174
12,0.033333,,,,,,,5.094492,-8.693415,0.309167,-848.762329,859.825989,-327.032837,-0.933222,-9.710373,2.311086,-842.672424,664.545044,-412.108398,-12.952522,-29.266958,-2.667079,-822.404236,445.127655,-341.758942,175.355164,-47.976418,-169.699951,-828.614685,247.618835,-257.517303,171.377243,-42.013584,179.979233,-886.264038,64.598053,-281.921326,177.984192,-41.383484,178.296356,-800.751221,-5.880381,-412.685059
13,0.036111,,,,,,,5.079771,-8.796025,0.387447,-848.646912,859.765076,-327.173676,-0.886719,-9.869646,2.235770,-842.278076,664.524231,-412.054443,-12.740091,-29.304518,-2.552795,-822.015137,445.259674,-341.965515,175.379868,-47.963390,-169.649338,-828.504517,247.664108,-257.468323,171.366608,-42.030735,-179.966904,-886.183289,64.625694,-281.941498,177.976242,-41.372555,178.316772,-800.720520,-5.890350,-412.683624
14,0.038889,,,,,,,5.057308,-8.886425,0.449678,-848.565796,859.734070,-327.295776,-0.905059,-9.949649,2.256194,-841.935791,664.494812,-412.008118,-12.685388,-29.321472,-2.494201,-821.697144,445.302582,-342.003540,175.371429,-47.947742,-169.651306,-828.423401,247.680557,-257.403534,171.923065,-41.807358,179.710495,-886.271057,64.397179,-281.848785,177.976364,-41.375671,178.348953,-800.694519,-5.915050,-412.676361
15,0.041667,,,,,,,4.899952,-8.931004,0.770883,-848.932312,859.609558,-327.125549,-0.908370,-10.086445,2.323968,-841.585815,664.456848,-411.946899,-12.379941,-29.178226,-2.119483,-821.130127,445.517944,-342.341705,175.434494,-47.887749,-169.591370,-828.348938,247.710678,-257.331207,172.636597,-41.717232,179.294540,-886.098633,64.098518,-281.496338,177.977737,-41.374798,178.373245,-800.663269,-5.921556,-412.674530
16,0.044444,,,,,,,4.936942,-8.973505,0.757324,-848.842529,859.700378,-327.283447,-0.984558,-10.253412,2.383682,-841.299011,664.406189,-411.892273,-12.812591,-29.440937,-2.727420,-821.483765,445.197113,-341.841797,175.448288,-47.872536,-169.591141,-828.263062,247.746094,-257.273773,172.669159,-41.712498,179.318893,-886.020264,64.118790,-281.488403,177.974030,-41.376911,178.413849,-800.640076,-5.939112,-412.677521
17,0.047222,,,,,,,5.056266,-9.177734,1.179204,-848.057800,860.457336,-327.720581,-0.763051,-10.333059,2.475155,-841.051941,664.461243,-411.930969,-12.723595,-29.524464,-2.604211,-821.116211,445.279419,-341.759827,175.477417,-47.839249,-169.559296,-828.185242,247.798141,-257.207458,172.739532,-41.719788,179.424774,-885.937439,64.114456,-281.480194,177.977341,-41.388344,178.437500,-800.612427,-5.957820,-412.680267
18,0.050000,,,,,,,5.004161,-9.243334,1.214128,-848.021851,860.476074,-327.838715,-0.756421,-10.478360,2.513710,-840.873169,664.461609,-411.872559,-12.767274,-29.555172,-2.623335,-820.949036,445.266357,-341.678192,175.495636,-47.827156,-169.553223,-828.113892,247.833557,-257.143311,172.751434,-41.730816,179.416092,-885.875549,64.152306,-281.485168,177.971573,-41.391273,178.453812,-800.590637,-5.964705,-412.677124
19,0.052778,,,,,,,5.034793,-9.253038,1.177843,-847.983948,860.435852,-327.918121,-1.188114,-10.720689,2.485770,-840.782776,664.319214,-411.647705,-12.931761,-29.503767,-2.862716,-820.919617,445.077332,-341.626801,175.522156,-47.820488,-169.527710,-828.052734,247.883408,-257.093445,172.311768,-41.546928,-179.888763,-885.970825,64.411133,-281.622467,177.975540,-41.381519,178.468140,-800.572449,-5.962044,-412.672394
20,0.055556,,,,,,,2.959646,-9.209007,3.548622,-849.688965,856.653198,-326.227692,-1.214198,-10.850305,2.563889,-840.797241,664.375977,-411.595276,-12.671770,-29.590555,-2.558312,-820.544006,445.314056,-341.593323,175.577332,-47.776932,-169.504364,-827.999146,247.963821,-257.039581,171.796936,-41.669250,-179.485046,-885.888916,64.654976,-281.727814,177.968536,-41.378002,178.497742,-800.567383,-5.972861,-412.668671
21,0.058333,,,,,,,4.863934,-9.481995,1.349279,-848.366333,860.659058,-327.911041,-1.100826,-10.974879,2.511889,-840.683350,664.394775,-411.433502,-12.645681,-29.603607,-2.554966,-820.440735,445.325806,-341.482483,175.603455,-47.784367,-169.468445,-827.950867,247.998230,-257.011322,172.810425,-41.743633,179.486038,-885.753174,64.225136,-281.480225,177.962265,-41.380283,178.500687,-800.560120,-5.974920,-412.668274
22,0.061111,,,,,,,4.514481,-9.588834,1.201082,-848.988220,860.048218,-327.547607,-0.796873,-10.950798,2.595985,-840.624268,664.504028,-411.457550,-12.643917,-29.615011,-2.561990,-820.361389,445.330994,-341.381439,175.632248,-47.794861,-169.443558,-827.922119,248.028641,-256.991058,172.806534,-41.736237,179.503586,-885.730042,64.257790,-281.495819,177.968155,-41.385689,178.506042,-800.554199,-5.975707,-412.675385
23,0.063889,,,,,,,4.449120,-9.660157,1.199589,-849.068481,860.265503,-327.585663,-1.064186,-11.047936,2.660727,-840.677063,664.337585,-411.393402,-12.718826,-29.547180,-2.685931,-820.339661,445.219208,-341.306702,175.631012,-47.816345,-169.461319,-827.910889,248.061981,-256.991180,172.364883,-41.547367,-179.836731,-885.867981,64.511299,-281.642517,177.970215,-41.404755,178.529160,-800.554932,-5.986849,-412.691040
24,0.066667,,,,,,,4.274728,-9.674075,1.056947,-849.208008,860.149048,-327.496399,-0.591435,-11.004186,2.681016,-840.623047,664.460327,-411.339752,-12.743399,-29.510433,-2.723269,-820.364258,445.209717,-341.210815,175.648712,-47.845627,-169.467239,-827.905457,248.082504,-256.985596,172.779678,-41.728668,179.520203,-885.715088,64.307251,-281.516510,177.973694,-41.397976,178.536667,-800.549805,-5.985676,-412.691772
25,0.069444,,,,,,,4.182378,-9.707578,1.101776,-849.284424,860.311951,-327.446625,-0.565937,-11.006018,2.693174,-840.700623,664.470337,-411.245270,-12.736414,-29.470716,-2.736390,-820.409119,445.208649,-341.126404,175.646622,-47.901127,-169.474335,-827.913147,248.102112,-256.979767,172.328949,-41.553070,-179.867142,-885.853027,64.550987,-281.655914,177.965286,-41.404552,178.532822,-800.548218,-5.990448,-412.706512
26,0.072222,,,,,,,4.099658,-9.732680,1.120530,-849.388245,860.508240,-327.387787,-0.503510,-11.007041,2.684340,-840.811462,664.472656,-411.127319,-12.745707,-29.413391,-2.764257,-820.510315,445.202728,-341.036255,175.668762,-47.863522,-169.472504,-827.975586,248.138260,-256.989166,172.309357,-41.560345,-179.865845,-885.856201,64.566032,-281.670258,177.968658,-41.400665,178.527130,-800.546570,-5.993776,-412.707947
27,0.075000,,,,,,,3.942948,-9.759874,1.228999,-849.558655,860.714905,-327.256317,-0.457005,-10.997108,2.669699,-840.950684,664.487793,-411.013733,-12.746932,-29.347376,-2.784844,-820.628174,445.204620,-340.961182,175.670456,-48.003632,-169.497070,-827.960205,248.123764,-256.977692,172.735031,-41.738857,179.482559,-885.727051,64.348053,-281.533600,177.968765,-41.402634,178.540253,-800.548340,-6.006136,-412.716980
28,0.077778,,,,,,,3.837197,-9.778827,1.184075,-849.681763,860.844604,-327.147034,-0.517739,-10.908412,2.607912,-841.161133,664.488525,-410.905884,-12.696397,-29.289211,-2.767019,-820.763977,445.234619,-340.888184,175.677612,-48.081181,-169.508286,-828.002441,248.142624,-256.971710,172.304871,-41.563351,-179.912918,-885.867004,64.565445,-281.664368,177.959808,-41.400738,178.530319,-800.549133,-6.014288,-412.715973
29,0.080556,,,,,,,3.750557,-9.776864,1.155800,-849.806519,861.018677,-327.040009,-0.440285,-10.846361,2.606651,-841.386536,664.509033,-410.754944,-12.638894,-29.217669,-2.761166,-820.939087,445.238770,-340.834503,175.668076,-48.145164,-169.536041,-828.048218,248.152176,-256.944397,172.718582,-41.750946,179.445084,-885.747375,64.346062,-281.541992,177.955383,-41.408195,178.543503,-800.559509,-6.023261,-412.725037
30,0.083333,,,,,,,3.624307,-9.773245,1.094309,-849.936707,861.117920,-326.892853,-0.686388,-10.833903,2.491312,-841.693176,664.497070,-410.483917,-12.600267,-29.140930,-2.743729,-821.126282,445.254578,-340.755402,175.657944,-48.224960,-169.579849,-828.108521,248.171082,-256.920990,172.133652,-41.547665,-179.779419,-885.879578,64.640533,-281.778259,177.939865,-41.413334,178.533035,-800.563477,-6.030474,-412.731049
31,0.086111,,,,,,,3.385724,-9.882534,1.360056,-850.124756,861.698669,-326.939789,-0.538748,-10.741864,2.462453,-841.928528,664.528198,-410.316589,-12.555825,-29.038628,-2.716333,-821.350098,445.273743,-340.648895,175.673264,-48.269863,-169.584396,-828.179199,248.182404,-256.872101,172.699173,-41.768566,179.385483,-885.773804,64.334396,-281.550201,177.925278,-41.410362,178.534607,-800.569519,-6.036524,-412.734894
32,0.088889,,,,,,,3.274783,-9.858795,1.269614,-850.241089,861.723572,-326.778503,-0.454656,-10.637831,2.444956,-842.203552,664.564697,-410.110931,-12.509840,-28.948961,-2.683063,-821.574219,445.296539,-340.559387,175.623093,-48.366100,-169.663589,-828.260254,248.205353,-256.832245,172.684631,-41.773323,179.359344,-885.805420,64.329346,-281.558807,177.927780,-41.410011,178.516479,-800.580627,-6.041656,-412.746613
33,0.091667,,,,,,,3.223752,-9.780292,1.051445,-850.330383,861.594727,-326.495758,-0.186773,-10.909289,2.068496,-842.413574,664.606873,-409.645691,-12.438242,-28.906870,-2.558757,-821.706177,445.414490,-340.400482,175.655502,-48.378250,-169.681717,-828.359131,248.218445,-256.772644,172.678284,-41.789150,179.348572,-885.849609,64.320122,-281.589111,177.913391,-41.403931,178.507538,-800.596130,-6.047826,-412.742249
34,0.094444,,,,,,,3.081604,-9.771514,1.053877,-850.494995,861.652527,-326.239349,-0.173042,-10.801225,2.048867,-842.690613,664.653259,-409.478271,-12.438046,-28.802748,-2.558186,-821.985779,445.445313,-340.305145,175.649368,-48.432461,-169.721832,-828.459412,248.239410,-256.722748,172.649521,-41.792664,179.308777,-885.896545,64.330360,-281.601685,177.907089,-41.419304,178.504623,-800.618530,-6.052017,-412.764862
35,0.097222,,,,,,,2.961028,-9.762380,1.092508,-850.652039,861.777588,-326.030060,-0.503552,-10.410460,2.322783,-843.150879,664.700562,-409.486603,-12.480305,-28.682625,-2.568390,-822.308044,445.463409,-340.203217,175.681442,-48.471268,-169.737473,-828.576355,248.274170,-256.667877,172.178406,-41.587925,179.928406,-886.102539,64.565544,-281.756775,177.896667,-41.413990,178.489792,-800.638855,-6.052920,-412.778198
